Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,S.N. ,Name,Type of Listing,Listing Date ,Listed Unit
,82,NMB Bank Limited,Bonus,2077.11.25,18782078.86
,83,Jyoti Bikas Bank Limited ,Bonus,2077.11.25,3495293.44
,84,Arun Kabeli Power Limited,Bonus,2077.11.26,856500
,85,Nabil Bank Limited,Bonus,2077.11.26,33826616.29
,86,Himalayan Bank Limited,Bonus,2077.12.01,13121194
,87,Nepal Sewa Laghubitta Bittiya Sanstha Limited,Bonus,2077.12.04,15000
,88,Lumbini Bikas Bank Limited,Bonus,2077.12.04,1901418.21
,89,Global IME Bank Limited,Bonus,2077.12.04,26566231.8
,90,Nepal Bangladesh Bank Limited,Bonus,2077.12.05,5092410
,91,Mahila Sahayatra Laghubitta Bittiya Sanstha Limited,Bonus,2077.12.05,121000
,92,Century Commercial Bank Limited,Bonus,2077.12.05,6189579.26
,93,Butwal Power Company Limited ,Bonus,2077.12.09,2674787
,94,National Life Insurance Company Limited,Bonus,2077.12.11,3082626.53
,95,Sunrise Banlk Limited,Bonus,2077.12.12,5201330.63
,96,Pokhara Finance Limited,Bonus,2077.12.16,458640.86
,97,RSDC Lagbubitta Bittiya Sanstha Limited,Bonus,2077.12.16,604370.45
,98,NMB Laghubitta Bittiya Sanstha Limited,Bonus,2077.12.16,861873.25
,99,Vijaya Laghubitta Bittiya Sanstha Limited,Bonus,2077.12.17,425659.85
,100,Ngadi Group Power Limited,Bonus,2077.12.23,535554.8
,101,Shree Investment & Finance Company Limited,Bonus,2077.12.23,610998.795
,102,Barun Hydropower Company Limited,Bonus,2077.12.23,127575
,103,Siddhartha Bank Limited,Bonus,2077.12.25,11745320.57
,104,Nepal Bank Limited ,Bonus,2077.12.26,13539384.24
,105,Guheshwori Merchant Banking & Finance Limited ,Bonus,2077.12.26,640000
,106,Civil Bank Limited,Bonus,2077.12.30,6402711.74
,107,Shine Resunga Development Bank Limited,Bonus,2077.12.31,3921241.66
,108,Nepal Investment Bank Limited,Bonus,2078.01.05,18883750
,109,Sana Kisan Laghubitta Bittiya Sanstha Limited,Bonus,2078.01.05,2500573.5642
,110,Garima Bikas Bank Limited,Bonus,2078.01.05,4372230.73
,111,Sadhana Laghubitta Bittiya Sanstha Limited,Bonus,2078.01.07,392004
,112,Chhyangdi Hydropower Limited,Bonus,2078.01.08,141750
,113,Samata Laghubitta Bittiya Sanstha Limited,Bonus,2078.01.16,382233.6
,114,Goodwill Finance Limited,Bonus,2078.01.16,672000
,115,Synergy Power Development Limited,Bonus,2078.01.19,332500
,116,NRN Infrastructure & Development Limited ,Bonus,2078..01.21,322814
,117,Swabhimaan Laghubitta Bittiya Sanstha Limited ,Bonus,2078.01.23,153423.6
,118,Surya Life Insurance Company Limited,Bonus,2078.01.24,1077569
,119,Prime  Commercial Bank Limited,Bonus,2078.01.27,20977874.25
,120,Sahara Bikas Bank Limited ,Bonus,2078.01.27,167888.04
,121,Ganapati Laghubitta Bittiya Sanstha Limited ,Bonus,2078.01.27,166117.5
,122,Infinity Laghubitta Bittiya Sanstha Limited,Bonus,2078.01.28,325099.5
,123,Shikhar Insurance Company Limited ,Bonus,2078.02.11,3840202
,124,Life Insurance Corporation (Nepal) Limited,Bonus,2078.02.25,2010000
,125,Srijana Finance Limited,Bonus,2078.03.03,1151950.17
,126,Nepal Insurance Company Limited,Bonus,2078.03.08,920250.79
,127,Mirmire Laghubitta Bittiya Sanstha Limited,Bonus,2078.03.20,364448.35
,128,Sangrila Development Bank Limited,Bonus,2078.03.20,1303320.2
,129,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited ,Bonus,2078.03.21,1950000
,130,Swarojgar Laghubitta Bittiya Sanstha Limited,Bonus,2078.03.21,453421.77
