Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,NEPSE Sensitive-INDEX during Sharwan  2063,,,,,,,
,(16 July 2006 to 16 Aug 2006),,,,,,,
,Date,Com.,  Manufacturing,Insurance,Finance,Dev.,SENSITIVE,
,Sharwan 063,Bank,& Processing,,,Bank,INDEX,
,2006-07-17 00:00:00,100,100,100,100,100,100,Base Index
,,,,,,,,
,NEPSE Sensitive-INDEX during Bhadra  2063,,,,,,,
,(16 Aug 2006 to 16 Sept 2006),,,,,,,
,Date,Com.,  Manufacturing,Insurance,Finance,Dev.,SENSITIVE,
,Bhadra 063,Bank,& Processing,,,Bank,INDEX,
,2006-12-18 00:00:00,134.06,99.64,118.7,107.23,,203.51,131.78
,2006-12-19 00:00:00,132.4,112,124.48,109.38,,193.08,131.14
,2006-12-20 00:00:00,130.13,112,125.29,110.9,,207.69,129.45
,2006-12-21 00:00:00,130.77,112,126.26,110.9,,205.38,130.02
,2006-12-24 00:00:00,131.56,112,127.4,115.62,,208.97,131.02
,2006-12-25 00:00:00,131.89,112,127.4,116.66,,206.41,131.33
,2006-12-26 00:00:00,131.57,112,127.7,116.66,,206.41,131.06
,2006-12-27 00:00:00,130.13,114,138.86,120.21,,210,130.51
,2006-12-28 00:00:00,130.13,114,138.86,120.21,,210,130.51
,2006-12-31 00:00:00,129.28,114,139.14,120.5,,210,129.79
,2007-01-01 00:00:00,128.78,114,142.22,121.72,,211.79,129.56
,2007-01-02 00:00:00,127.25,114,145.3,125.16,,222.31,128.64
,2007-01-03 00:00:00,125.44,114,154.65,126.36,,232.31,127.61
,2007-01-04 00:00:00,127.29,116,158.61,128.35,,232.05,129.53
,2007-01-07 00:00:00,129.24,116,158.61,132.28,,235.9,131.46
,2007-01-08 00:00:00,130.04,116,160.54,133.45,,243.59,132.38
,2007-01-09 00:00:00,131.58,116,160.52,137.36,,243.59,133.91
,2007-01-10 00:00:00,132.06,116,164.34,141.74,,247.44,134.73
,2007-01-11 00:00:00,131.12,116,165.84,147.46,,248.72,134.26
,2007-01-14 00:00:00,131.53,116,172.44,153.33,,248.72,135.14
,BASE: 16 JULY 2006 (32 ASHADH 2063,,,,,,,
,,,,,,,,
,,,,,,,,
,NEPSE Sensitive-INDEX during Magh 2063,,,,,,,
,(15 Jan 2007 to 12 Feb 2007 ),,,,,,,
,Date,Com.,  Manufacturing,Insurance,Finance,,Dev.,SENSITIVE
,Magh 2063,Bank,& Processing,,,,Bank,INDEX
,2007-01-15 00:00:00,131.58,116,172.42,153.64,,248.72,135.2
,2007-01-17 00:00:00,131.29,116,172.5,153.92,,248.72,134.97
,2007-01-18 00:00:00,130.71,116,171.24,154.13,,248.72,134.42
,2007-01-21 00:00:00,129.27,116,172.92,152.79,,242.31,133.09
,2007-01-22 00:00:00,128.78,116,174.24,147.93,,241.03,132.47
,2007-01-24 00:00:00,128.65,116,174.24,144.89,,238.46,132.18
,2007-01-25 00:00:00,128.01,116,168.95,146.62,,238.46,131.46
,2007-01-28 00:00:00,127.28,116,168.95,146.94,,237.18,130.82
,2007-01-29 00:00:00,125.3,116,162.91,146.87,,238.21,128.87
,2007-01-31 00:00:00,125.67,116,163,148.43,,238.21,129.27
,2007-02-01 00:00:00,127.17,116,163.93,149.88,,236.67,130.66
,2007-02-04 00:00:00,126.59,116,164.01,150.28,,236.67,130.18
,2007-02-05 00:00:00,126.2,116,163.7,152.38,,239.74,129.96
,2007-02-06 00:00:00,126.14,116,161.98,154.56,,243.59,129.99
,2007-02-07 00:00:00,125.84,116,161.14,156.69,,243.59,129.8
,2007-02-08 00:00:00,126.8,116,161.82,157.1,,243.59,130.68
,2007-02-11 00:00:00,127.19,116,162.44,159.19,,243.59,131.14
,2007-02-12 00:00:00,126.94,116,163.55,160.26,,243.59,131.02
,BASE: 16 JULY 2006 (32 Ashadh 2063),,,,,,,
,,,,,,,,
,NEPSE Sensitive-INDEX during Falgun 2063,,,,,,,
,(13 Feb 2007 to 14 March 2007 ),,,,,,,
,Date,Com.,Manufacturing,Insurance,Finance,Hydro,Dev.,Sensitive
