S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
1,ACLBSL,22.40,"1,140.00","1,140.00","1,103.00","1,111.05","1,114.00",-2.95,0.00,"1,105.74","1,776.00","1,119.27","1,963,801.10",50,-8.22,37.00,-0.73,3.35,0.48,"1,093.46","1,089.45","1,345.00",965.00
2,ADBL,36.35,333.00,334.50,328.00,330.97,332.00,-1.03,0.00,330.90,"123,924.00",334.44,"41,007,028.90",425,-3.47,6.50,-1.04,1.98,0.02,297.48,306.01,428.40,272.30
3,ADBLD83,41.53,"1,100.00","1,120.00","1,100.00","1,120.00","1,120.00",0.00,0.00,"1,106.67",300.00,"1,080.10","332,000.00",2,39.90,20.00,3.69,1.82,1.19,"1,105.40","1,095.25","1,160.00","1,046.00"
4,AHL,30.59,623.00,645.00,623.00,636.17,639.00,-2.83,0.00,632.57,"6,082.00",635.19,"3,847,302.20",101,0.98,22.00,0.15,3.53,0.57,689.63,709.68,891.00,579.50
5,AHPC,25.54,292.10,297.00,291.10,292.86,294.80,-1.94,-0.01,293.40,"172,923.00",296.97,"50,735,826.80",575,-4.11,5.90,-1.38,2.03,-0.18,281.56,276.22,349.00,239.30
6,AKJCL,23.23,209.50,211.00,207.00,207.75,207.50,0.25,0.00,207.64,"116,097.00",209.03,"24,106,512.30",426,-1.28,4.00,-0.61,1.93,0.05,209.51,208.07,274.90,187.20
7,AKPL,22.94,265.00,268.00,262.30,263.11,263.40,-0.29,0.00,264.05,"194,489.00",265.73,"51,354,113.40",641,-2.62,5.70,-0.99,2.17,-0.36,250.97,249.27,326.00,211.30
8,ALBSL,34.91,"1,001.00","1,015.00",996.10,"1,004.74","1,004.00",0.74,0.00,"1,007.39","36,053.00","1,014.23","36,319,571.20",297,-9.49,18.90,-0.94,1.90,-0.26,855.70,857.07,"1,177.00",771.00
9,ALICL,22.75,496.00,496.00,486.50,487.88,487.20,0.68,0.00,488.54,"20,920.00",491.68,"10,220,166.50",181,-3.80,9.50,-0.77,1.95,-0.13,644.58,675.27,831.00,484.80
10,ANLB,30.06,"5,655.00","5,809.10","5,655.00","5,781.97","5,809.00",-27.03,0.00,"5,705.19",635.00,"5,715.62","3,622,797.90",54,66.35,154.10,1.16,2.73,1.33,"5,354.94","5,322.94","6,735.00","2,792.00"
11,API,24.97,299.90,300.00,294.50,294.91,294.50,0.41,0.00,296.27,"204,350.00",297.92,"60,543,413.80",665,-3.01,5.50,-1.01,1.87,-0.46,292.15,286.91,390.00,246.20
12,AVYAN,23.05,"1,097.00","1,131.00","1,088.00","1,095.23","1,088.00",7.23,0.01,"1,102.13","4,916.00","1,116.44","5,418,053.50",86,-21.21,43.00,-1.90,3.95,-0.63,"1,071.98","1,070.26","1,306.80",832.00
13,BARUN,40.60,389.30,389.30,366.10,370.98,374.90,-3.92,-0.01,372.83,"133,205.00",381.72,"49,662,292.10",595,-10.74,23.20,-2.81,6.34,-0.50,469.31,456.61,589.00,296.10
14,BBC,25.01,"5,599.00","5,599.00","5,450.00","5,463.24","5,495.00",-31.76,-0.01,"5,483.38",696.00,"5,512.00","3,816,432.50",57,-48.76,149.00,-0.88,2.73,-0.37,"5,620.71","5,625.28","7,247.00","4,010.00"
15,BEDC,23.22,735.10,750.00,735.00,739.95,742.00,-2.05,0.00,741.36,"18,402.00",749.63,"13,642,566.60",129,-9.68,15.00,-1.29,2.04,-0.19,750.69,732.31,"1,080.00",417.10
16,BFC,24.56,508.90,519.00,503.00,504.52,507.00,-2.48,0.00,508.95,"29,907.00",519.21,"15,221,207.50",229,-14.69,16.00,-2.83,3.18,-0.88,535.64,591.90,951.60,456.00
17,BGWT,33.66,919.00,919.00,900.00,901.34,900.00,1.34,0.00,903.95,"4,944.00",914.21,"4,469,147.50",91,-12.87,19.00,-1.41,2.11,-0.29,992.70,"1,005.33","1,241.00",857.60
18,BHDC,28.65,576.90,600.00,576.90,597.33,592.00,5.33,0.01,593.36,"88,414.00",588.41,"52,461,029.80",465,8.92,23.10,1.52,4.00,0.67,555.33,595.80,829.70,426.00
19,BHL,26.26,212.00,215.50,209.00,209.59,210.00,-0.41,0.00,210.65,"261,460.00",211.27,"55,075,548.30","1,078",-1.68,6.50,-0.80,3.11,-0.50,257.25,295.91,520.00,202.20
20,BHPL,25.53,782.40,806.00,782.40,786.54,786.20,0.34,0.00,793.64,"2,226.00",795.67,"1,766,635.90",52,-9.13,23.60,-1.15,3.02,-0.90,938.74,918.24,"1,308.40",654.00
21,BNHC,36.07,530.60,549.30,523.50,531.03,533.90,-2.87,-0.01,535.49,"18,570.00",541.36,"9,944,030.00",177,-10.33,25.80,-1.91,4.93,-0.84,519.87,517.67,689.80,440.00
22,BNL,23.12,"17,052.00","17,052.00","16,711.00","16,711.00","16,711.00",0.00,0.00,"16,881.50",20.00,"17,400.00","337,630.00",2,-689.00,341.00,-3.96,2.04,-1.02,"17,186.00","17,353.77","22,500.00","14,900.00"
23,BNT,40.70,"12,500.00","12,600.00","12,405.00","12,600.00","12,600.00",0.00,0.00,"12,514.86",140.00,"12,546.70","1,752,080.00",13,53.30,195.00,0.42,1.57,0.68,"12,845.90","13,213.82","17,298.00","12,050.00"
24,BOKD86KA,41.53,"1,148.00","1,152.60","1,148.00","1,151.05","1,152.60",-1.55,0.00,"1,151.05",80.00,"1,130.00","92,084.00",4,21.05,4.60,1.86,0.40,0.00,0.00,0.00,"1,198.50","1,050.00"
25,BPCL,24.18,860.00,879.00,840.00,854.85,860.00,-5.15,-0.01,857.12,"228,766.00",866.97,"196,079,869.00",892,-12.12,39.00,-1.40,4.64,-0.27,605.98,542.47,"1,065.00",375.10
26,C30MF,26.76,10.44,10.44,10.07,10.16,10.20,-0.04,0.00,10.14,"14,950.00",10.24,"151,528.00",13,-0.08,0.37,-0.78,3.67,0.24,9.55,9.50,10.92,8.65
