Nepal Stock Exchange Limited.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
NEPSE Index during Fiscal Year 2061/62,,,,,,,,,
17July 2004 to 16th July 2005 (Fiscal Year 2061/062),,,,,,,,,
Date/Month,Commercial,   Manufact-,Hotel,Other,Trading,Insurance,Finance,Dev.Banking,       Total
,       Bank, uring & Pro,,,,,,,
Sharwan 2061,,,,,,,,,
2004-07-16 00:00:00,232.87,255.58,184.98,142.65,95.01,237.39,196.32,190.03,222.65
2004-07-19 00:00:00,234.11,225.58,184.98,142.13,95.01,237.62,196.19,191.18,223.45
2004-07-20 00:00:00,235.55,225.58,184.41,142.13,95.01,237.62,196.92,192.71,224.41
2004-07-21 00:00:00,235.59,225.58,184.41,142.13,95.01,237.62,196.93,191.94,224.42
2004-07-22 00:00:00,234.06,225.58,184.41,142.13,95.01,237.15,196.89,191.94,223.42
2004-07-23 00:00:00,235.05,255.19,194.98,142.13,95.01,237.15,196.94,193.47,224.09
2004-07-26 00:00:00,*,,,,,,,,*
2004-07-27 00:00:00,235.85,255.19,184.98,142.13,95.04,237.39,196.96,194.23,224.63
2004-07-28 00:00:00,236.16,255.4,184.98,142.13,95.08,237.11,197.96,194.61,224.91
2004-07-29 00:00:00,237.03,255.4,184.98,142.13,95.11,237.57,198.32,195,225.52
2004-07-30 00:00:00,238.86,255.4,184.98,142.13,95.14,237.87,198.32,196.52,226.72
2004-08-02 00:00:00,239.49,255.4,185.55,142.13,95.17,237.87,199.71,197.67,227.3
2004-08-03 00:00:00,241.76,255.4,185.55,142.13,95.17,238.34,200.01,197.67,228.77
2004-08-04 00:00:00,243.89,255.4,185.55,142.13,95.17,238.1,200.99,199.19,230.2
2004-08-05 00:00:00,245.12,255.4,187.57,142.13,95.17,238.1,200.97,199.96,231.13
2004-08-06 00:00:00,246.91,255.4,188.14,142.65,95.17,235.53,203.42,201.86,232.39
2004-08-09 00:00:00,246.9,255.4,187.76,142.65,95.17,235.53,205.6,201.86,232.53
2004-08-10 00:00:00,248.27,255.4,187.76,142.65,95.17,235.25,206.44,202.63,233.46
2004-08-11 00:00:00,234.23,258.3,187.76,143.16,95.17,235.53,207.58,204.53,235.7
2004-08-12 00:00:00,251.74,261.08,188.53,143.68,95.17,234.23,208.01,203.77,236.76
2004-08-13 00:00:00,256.11,261.08,188.53,143.68,95.17,233.62,208.45,204.15,239.55
2004-08-16 00:00:00,259.08,261.08,189.3,143.68,95.17,233.62,208.63,204.53,241.51
Note; Share trading stoped due to strike of NEPSE  employee on 26th July.,,,,,,,,,
,,,,,,,,,
Date/Month,Commercial,   Manufact-,Hotel,Other,Trading,Insurance,Finance,Dev.Banking,       Total
,       Bank, uring & Pro,,,,,,,
Bhadra 2061,,,,,,,,,
