S.N. ,Name of the Company,Symbol,Listing Date ,Number of Unit,Type of Listing
75,Nepal Life Insurance Co. Ltd.,NLIC,2082.01.26,8207966.55,Bonus
76,Himalayan Life Insurance Limited,HLI,2082.02.01,11228537.04,Bonus
77,Citizen Life Insurance Limited,CLI,2082.02.11,10625000,Bonus
78,Shikhar Insurance Co. Ltd.,SICL,2082.02.19,2681518,Bonus
79,NESDO Sambridha Laghubitta Bittiya Sanstha Limited,NESDO,2082.02.20,363375,Bonus
80,Sanima Reliance Life Insurance Limited,SRLI,2082.02.25,618588,Bonus
81,Sanima GIC Insurance Limited,SGIC,2082.03.02,1500000,Bonus
82,United IDI Mardi RB Hydropower Limited,UMRH,2082.03.17,177240,Bonus
83,Prabhu Mahalaxmi Life Insurance Limited,PMLI,2082.03.22,3780480,Bonus
84,Nepal Insurance Co. Ltd.,NICL,2082.03.29,2466362.91,Bonus
85,9% ICFC Finance Limited Debenture 2088,ICFCD88,2081.11.18,300000,Corporate Debenture
86,Everest Bank Limited Debenture 2091,EBLD91,2082.01.08,3000000,Corporate Debenture
87, Nifra Green Energy Debenture 6% - 2088/89 ,NIFRAGED,2082.03.25,5000000,Corporate Debenture
88,Bishal Bazar Company Limited,BBC,2081.08.11,39608600,Additional (Promoter of Nepal Govt.)
89, SANJEN JALAVIDHYUT COMPANY LIMITED,SJCL,2081.11.06,3650000,Additional share (Locals of Rasuwa)
90,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,SWMF,2081.05.02,46729.545,FPO
91,Samata Gharelu Laghubitta Bittiya Sanstha Limited,SMATA,2081.08.11,350904.25,FPO
92,Mahuli Laghubitta Bittiya Sanstha Limited,MSLB,2081.10.14,475449.15,FPO
93, Wean Nepal Laghubitta Bittiya Sanstha Limited,WNLB,2082.02.01,51292.5,FPO
94,Swarojgar Laghubitta Bittiya Sanstha Ltd.,SLBBL,2081.12.07,195773,FPO
95,Guardian Micro Life Insurance Limited,GMLI,2081.10.24,7500000,IPO
96,Nepal Micro Insurance Company Limited,NMIC,2081.12.21,7500000,IPO
97,Crest Micro Life Insurance Limited,CREST,2081.12.27,7500000,IPO
98,Om Megashree Pharmaceuticals Limited,OMPL,2082.01.17,6000000,IPO
99,Pure Energy Limited,PURE,2082.02.12,8000000,IPO
100,Muktinath Mutual Fund 1,MNMF1,2081.09.22,"12,50,00,000",Mutual Fund
101,Garima Samriddhi Yojana,GSY,2081.11.01,"12,50,00,000",Mutual Fund
102,NMB Hybrid Fund L- II,NMBHF2,2082.01.07,136484000,Mutual Fund
103,MBL Equity Fund,MBLEF,2082.02.07,121625330,Mutual Fund
104,Reliable Samriddhi Yojana,RSY,2082.03.09,120000000,Mutual Fund
105, Hydroelectricity Investment and Development Company Ltd,HIDCL,2081.05.19,"1,68,59,050",Right
106,Best Finance Company Limited,BFC,2081.05.24,"3,56,074.57",Right
107,Himalaya Urja Bikas Company Limited,HURJA,2081.07.13,"99,00,000",Right
108,Ankhu Khola Jalvidhyut Company Ltd,AKJCL,2081.07.26,"1,20,00,000",Right
109,Liberty Energy Company Limited,LEC,2081.11.02,7500000,Right
110,NLG Insurance Company Ltd.,NLG,2081.11.25,9631220.22,Right
111, Life Insurance Corporation (Nepal) Limited ,LICN,2081.12.03,23468000,Right
112, Balephi Hydropower Limited,BHL,2081.12.19,18279700,Right
113,Ngadi Group Power Ltd.,NGPL,2081.12.19,18512792.225,Right
114,Neco Insurance Limited (NIL),NIL,2082.02.29,5030901.55,Right
115,Sun Nepal Life Insurance Company Limited,SNLI,2082.03.30,10471592,Right
116, Nepal Finance Ltd.,NFS,2082.03.30,299500,Right
