S.N. ,Name,Listed Unit,Listed Date,Type of Listing
140.0,Sagarmatha Insurance Company Limited,1653699.96,2080-01-12 00:00:00,Bonus
141.0,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,4170547.5,2080-01-14 00:00:00,Bonus
142.0,Deprosc Laghubitta Bittiya Sanstha Limited,1387498.3328,2080-01-14 00:00:00,Bonus
143.0,Prudential Insurance Company Limited,394392.0,2080-01-14 00:00:00,Bonus
144.0,Nepal Reinsurance Company Limited,5825000.0,2080-01-14 00:00:00,Bonus
145.0,Garima Bikas Bank Limited,5968135.55,2080-01-14 00:00:00,Bonus
146.0,Arun Valley Hydropower Development Company Limited,1383676.0,2080-01-14 00:00:00,Bonus
147.0,Aatmanirbhar Laghubitta Bittiya sanstha Limited – ANLB,623380.0,2080-01-14 00:00:00,IPO
148.0,BPW laghubitta Bittiya Sanstha Limited – BPW,300000.0,2080-01-14 00:00:00,IPO
149.0,Guheshowori Merchant Banking and Finance Limited ,617760.0,2080-01-17 00:00:00,Bonus
150.0,Swabalamban Laghubitta Bittiya Sanstha Limited,1683255.0,2080-01-20 00:00:00,Bonus
151.0,Makar Jitumaya Suri Hydropower Limited - MAKAR,7600000.0,2080-01-20 00:00:00,IPO
152.0,Adarsha Laghubitta Bittiya Sanstha Limited,41400.0,2080-01-24 00:00:00,Bonus
153.0,Gurans Life Insurance Company Limited,2971930.0,2080-01-25 00:00:00,Bonus
154.0,Best Finance Company Limited,259029.0,2080-01-25 00:00:00,Right 
155.0,Global IME Laghubitta Bittiya Sanstha Limited,663107.1912,2080-01-28 00:00:00,Bonus
156.0,Jyoti Bikas Bank Limited,1280325.99,2080-01-28 00:00:00,Bonus
157.0,Nepal Lube Oil Limited ,97564.0,2080-01-28 00:00:00,Bonus
158.0,Asha Laghubitta Bittiya Sanstha Limited,477020.0,2080-01-29 00:00:00,Bonus
159.0,Mai Khola Hydropower Limited - MKHL,3921568.0,2080-01-27 00:00:00,IPO
160.0,Mirmire Laghubitta Bittiya Sanstha Limited,1221772.39,2080-02-01 00:00:00,Bonus
161.0,Swabhimaan Laghubitta Bittiya Sanstha Limited,243564.3,2080-02-01 00:00:00,Bonus
162.0,Salt Trading Corporation Limited,253531.19,2080-02-01 00:00:00,Bonus
163.0, Agricultural Development Bank Limited,2637583.15,2080-02-01 00:00:00,Bonus
164.0,Forward Microfinance Laghubitta Bittiya Sanstha Limited,2111127.469,2080-02-03 00:00:00,Bonus
165.0,Nepal Bank Limited,2881180.9663,2080-02-03 00:00:00,Bonus
166.0,Miteri Development Bank Limited,1115733.6648,2080-02-04 00:00:00,Bonus
167.0,Sabaiko Laghubitta Bittiya Sanstha Limited,486000.0,2080-02-07 00:00:00,Bonus
168.0,Infinity Laghubitta Bittiya Sanstha Limited,829026.56,2080-02-07 00:00:00,Bonus
169.0,Laxmi Laghubitta Bittiya Sanstha Limited,576081.0,2080-02-07 00:00:00,Bonus
170.0,NLG Insurance Company Limited,1326614.36,2080-02-07 00:00:00,Bonus
171.0,Shangrila Development Bank Limited,2569220.5471,2080-02-07 00:00:00,Bonus
172.0,Nerude Laghubitta Bittiya Sanstha Limited,1320000.0,2080-02-08 00:00:00,Bonus
173.0,Chhimek Laghubitta Bittiya Sanstha Limited,5113020.0,2080-02-10 00:00:00,Bonus
174.0,United Modi Hydropower Limited ,805000.0,2080-02-10 00:00:00,Bonus
175.0,Hydroelectricity Investment and Development Company Limited,10638133.75,2080-02-14 00:00:00,Bonus
176.0,Prabhu Insurance Limited ,864106.76,2080-02-14 00:00:00,Bonus
177.0,Swarojgar Laghubitta Bittiya Sanstha Limited,1131018.07,2080-02-14 00:00:00,Bonus
178.0,Mithila Laghubitta Bittiya Sanstha Limited,255655.77,2080-02-16 00:00:00,Bonus
179.0,Support Laghubitta Bittiya Sanstha Limited,94380.0,2080-02-17 00:00:00,Bonus
180.0,RMDC Laghubitta Bittiya Sanstha Limited,3226772.45,2080-02-21 00:00:00,Bonus
181.0,Himalayan Everest Insurance Limited,615983.0,2080-02-21 00:00:00,Bonus
182.0,Prabhu Smart Fund - PRSF,100000000.0,2080-02-16 00:00:00,IPO
183.0,Global IME Bank Debenture 2084/85 - GBILD84/85,5000000.0,2080-02-10 00:00:00,IPO
184.0,Kalika Power Company Limited,1035000.0,2080-02-23 00:00:00,Bonus
185.0,Bhugol Energy Development Company Limited - BEDC,5440534.0,2080-02-22 00:00:00,IPO
186.0,Dolti Power Company Limited - DOLTI,5364860.0,2080-02-22 00:00:00,IPO
187.0,CITY Hotel Limited - CITY,16740000.0,2080-02-23 00:00:00,IPO
188.0,National Microfinance Laghubitta Bittiya Sanstha Limited,880012.46,2080-02-26 00:00:00,Bonus
189.0,Kalika Laghubitta Bittiya Sanstha Limited,594463.2816,2/31/2080,Bonus
190.0,Menchhiyam Hydropower Limited ,5425833.0,2/30/2080,IPO
191.0,Unique Nepal Laghubitta Bittiya Sanstha Limited,379425.0,2080-03-03 00:00:00,FPO
192.0,Upakar Laghubitta Bittiya Sanstha Limited,405232.0,2080-03-03 00:00:00,Bonus
193.0,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,4067475.6918,2080-03-03 00:00:00,Bonus
194.0,Naya Sarathi Laghubitta Bittiya Sanstha Limited,576450.99,2080-03-03 00:00:00,Bonus
195.0,Ingwa Hydropower Limited - IHL,6000000.0,2080-03-03 00:00:00,IPO
196.0,Asian Life Insurance Company Limited,2471894.42,2080-03-04 00:00:00,Bonus
197.0,Kamana Sewa Bikas Bank Limited,1385876.4667,2080-03-06 00:00:00,Bonus
198.0,Vijaya Laghubitta Bittiya Sanstha Limited,640000.0,2080-03-07 00:00:00,Bonus
199.0,RBB Mutual Fund 2 - RMF2,84611929.0,2080-03-07 00:00:00,IPO
200.0,Samata Gharelu Laghubitta Bittiya Sanstha Limited,514116.29,2080-03-12 00:00:00,Bonus
201.0,Mahuli Laghubitta Bittiya Sanstha Limited,402091.452,2080-03-12 00:00:00,Bonus
202.0,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,1477542.0,2080-03-13 00:00:00,Bonus
203.0,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,221859.0,2080-03-17 00:00:00,Bonus
204.0,Modi Energy Limited (MEL),29000000.0,2080-03-15 00:00:00,IPO
205.0,Rawa Energy Development Limited (RAWA) ,2800000.0,2080-03-17 00:00:00,IPO
206.0,10.30% Standard Chartered Bank Nepal Limited Debenture  (SCBD) ,2400000.0,2080-03-03 00:00:00,IPO
207.0,NMB debenture 10.75%-2089/90 (NMBD89/90) ,4000000.0,2080-03-15 00:00:00,IPO
208.0,Summit Laghubitta Bittiya Sanstha Limited,670000.0,2080-03-24 00:00:00,Bonus
209.0,Development Bond 208 Taa,20000000.0,2080-03-27 00:00:00,IPO
210.0,Development Bond 2085 ja,10000000.0,2080-03-27 00:00:00,IPO
211.0,Development Bond 2085 jha,10000000.0,2080-03-27 00:00:00,IPO
212.0,Development Bond 2086 nag,10000000.0,2080-03-27 00:00:00,IPO
213.0,Development Bond 2086 cha,10000000.0,2080-03-27 00:00:00,IPO
214.0,Siddhartha Investment Growth Scheme 3 (SIGS3),80580000.0,2080-03-26 00:00:00,IPO
215.0,Kisan Laghubitta Bittiya Sanstha Limited,329959.37,2080-03-31 00:00:00,Bonus
216.0,Arun Kabeli Power Limited (AKPL) ,1855211.0,2080-03-31 00:00:00,Bonus
,Himalayan Laghubitta Bittiya Sanstha Limited,,,
