Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,866.87",33.27,1.17,"10,537,008,796.56"
Sensitive Index,481.87,5.22,1.09,"3,587,908,187.90"
Float Index,194.28,2.14,1.11,"10,284,854,006.20"
Sensitive Float Index,163.06,1.65,1.02,"3,587,908,187.90"
Banking SubIndex,"1,488.00",19.09,1.30,"945,806,427.90"
Development Bank Index,"6,091.70",91.85,1.53,"415,016,746.80"
Finance Index,"2,509.19",30.23,1.21,"198,213,575.30"
Hotels And Tourism,"8,204.89",251.64,3.16,"208,270,852.20"
HydroPower Index,"4,129.68",86.83,2.14,"5,693,587,268.40"
Investment,107.72,0.95,0.89,"383,359,328.90"
Life Insurance,"12,900.62",60.09,0.46,"160,023,556.50"
Manufacturing And Processing,"11,703.55",13.65,0.11,"1,571,881,267.60"
Microfinance Index,"4,977.73",31.80,0.64,"286,681,740.70"
Mutual Fund,22.07,0.12,0.56,"23,480,113.26"
Non Life Insurance,"11,290.17",44.20,0.39,"91,266,886.00"
Others Index,"2,114.79",2.33,0.11,"321,054,978.40"
Trading Index,"3,880.89",88.73,2.33,"9,691,377.50"
