Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,785.74",-10.50,-0.37,"6,161,894,734.55"
Sensitive Index,479.76,-1.61,-0.33,"2,648,796,326.05"
Float Index,191.00,-0.69,-0.36,"6,069,618,119.05"
Sensitive Float Index,163.89,-0.65,-0.39,"2,648,796,326.05"
Banking SubIndex,"1,454.45",-10.19,-0.69,"655,093,948.90"
Development Bank Index,"5,849.14",20.76,0.35,"440,343,012.10"
Finance Index,"2,515.30",1.05,0.04,"150,938,845.20"
Hotels And Tourism,"6,963.86",-38.42,-0.54,"100,837,838.80"
HydroPower Index,"3,609.83",-11.12,-0.30,"2,519,447,707.50"
Investment,112.11,-0.02,-0.02,"394,679,398.30"
Life Insurance,"13,078.83",-74.60,-0.56,"205,171,711.70"
Manufacturing And Processing,"7,594.05",-7.78,-0.10,"419,421,135.30"
Microfinance Index,"5,242.64",-11.90,-0.22,"539,368,344.00"
Mutual Fund,20.56,0.03,0.17,"30,309,685.00"
Non Life Insurance,"12,453.58",-34.32,-0.27,"104,851,216.50"
Others Index,"2,613.83",0.90,0.03,"527,156,597.05"
Trading Index,"4,135.29",-63.17,-1.50,"12,308,363.70"
