Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,055.22",-6.20,-0.30,"5,144,675,578.00"
Sensitive Index,386.98,-0.43,-0.11,"5,156,040,000.00"
Float Index,139.34,-0.18,-0.13,"5,008,350,000.00"
Sensitive Float Index,123.28,-0.05,-0.04,"4,332,200,000.00"
Banking SubIndex,"1,504.67",0.95,0.06,"1,634,700,000.00"
Development Bank Index,"2,207.30",9.60,0.44,"1,254,710,000.00"
Finance Index,882.94,-2.10,-0.24,"284,272,000.00"
Hotels And Tourism,"2,008.32",7.27,0.36,"16,812,500.00"
HydroPower Index,"1,680.92",-24.36,-1.43,"287,451,000.00"
Life Insurance,"13,532.36",-160.85,-1.17,"587,668,000.00"
Manufacturing And Processing,"4,835.79",20.72,0.43,"237,759,000.00"
Microfinance Index,"3,347.91",76.57,2.34,"1,168,210,000.00"
Mutual Fund,11.43,0.00,0.01,"19,579,700.00"
Non Life Insurance,"9,799.04",-138.42,-1.39,"1,018,500,000.00"
Others Index,"1,695.83",-26.02,-1.51,"426,661,000.00"
Trading Index,"2,076.54",24.16,1.18,"14,085,900.00"
