Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,425.29",-16.55,-0.68,"9,898,456,128.00"
Sensitive Index,442.06,-4.32,-0.97,"10,472,900,000.00"
Float Index,165.42,-1.38,-0.83,"9,688,540,000.00"
Sensitive Float Index,141.54,-1.22,-0.86,"8,314,830,000.00"
Banking SubIndex,"1,711.63",-41.08,-2.34,"2,454,220,000.00"
Development Bank Index,"2,477.06",-43.25,-1.72,"1,820,680,000.00"
Finance Index,"1,152.05",-18.20,-1.55,"652,812,000.00"
Hotels And Tourism,"2,022.54",-25.96,-1.27,"23,406,800.00"
HydroPower Index,"1,871.44",-22.91,-1.21,"554,489,000.00"
Life Insurance,"17,827.69",-42.47,-0.24,"1,399,800,000.00"
Manufacturing And Processing,"6,094.33",167.00,2.82,"469,460,000.00"
Microfinance Index,"4,156.41",87.24,2.14,"1,652,850,000.00"
Mutual Fund,12.06,-0.22,-1.79,"53,102,600.00"
Non Life Insurance,"12,562.16",410.39,3.38,"3,229,130,000.00"
Others Index,"1,935.73",-11.03,-0.57,"732,842,000.00"
Trading Index,"2,920.49",-4.98,-0.17,"18,861,400.00"
