Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,668.11",0.15,0.01,"1,342,232,838.50"
Sensitive Index,509.85,-0.05,-0.01,"1,365,780,000.00"
Float Index,180.86,0.22,0.12,"1,339,000,000.00"
Sensitive Float Index,160.25,0.58,0.36,"949,000,000.00"
Banking SubIndex,"1,720.39",0.71,0.04,"181,704,494.30"
Development Bank Index,"4,665.37",12.45,0.27,"131,994,760.40"
Finance Index,"2,236.33",-6.50,-0.29,"68,252,325.60"
Hotels And Tourism,"3,094.21",-21.77,-0.70,"6,282,470.20"
HydroPower Index,"3,159.16",-36.64,-1.15,"305,519,597.20"
Investment,87.82,-0.68,-0.76,"82,886,944.00"
Life Insurance,"14,367.12",153.57,1.08,"233,453,810.90"
Manufacturing And Processing,"6,427.99",-21.00,-0.33,"96,630,778.40"
Microfinance Index,"5,115.58",18.30,0.36,"75,292,955.00"
Mutual Fund,15.53,-0.08,-0.48,"1,483,401.70"
Non Life Insurance,"12,038.92",73.31,0.61,"79,715,397.20"
Others Index,"2,348.78",8.19,0.35,"63,474,870.80"
Trading Index,"2,622.77",-85.72,-3.16,"10,934,800.60"
