Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,397.57",6.28,0.45,"393,129,068.00"
Sensitive Index,288.36,1.30,0.45,"376,532,000.00"
Float Index,97.80,0.48,0.50,"389,250,000.00"
Sensitive Float Index,94.92,0.57,0.61,"316,683,000.00"
Banking SubIndex,"1,178.80",5.42,0.46,"122,999,000.00"
Development Bank Index,"1,727.64",4.22,0.25,"55,535,700.00"
Finance Index,655.54,2.85,0.44,"44,986,900.00"
Hotels And Tourism,"1,497.20",-4.36,-0.29,"6,021,800.00"
HydroPower Index,951.02,7.42,0.79,"17,570,900.00"
Life Insurance,"8,520.22",56.82,0.67,"25,347,000.00"
Manufacturing And Processing,"2,696.51",21.73,0.81,"21,435,500.00"
Microfinance Index,"2,355.56",12.02,0.51,"49,549,900.00"
Mutual Fund,10.58,-0.01,-0.09,"2,022,030.00"
Non Life Insurance,"6,735.30",32.41,0.48,"101,774,000.00"
Others Index,828.37,0.09,0.01,"52,030,700.00"
Trading Index,866.86,20.11,2.38,"425,545.00"
