Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,683.15",-12.58,-0.46,"8,631,512,542.17"
Sensitive Index,456.71,-2.45,-0.53,"2,322,341,353.20"
Float Index,184.41,-0.98,-0.53,"8,577,184,478.70"
Sensitive Float Index,155.86,-0.90,-0.57,"2,322,341,353.20"
Banking SubIndex,"1,369.07",-8.73,-0.63,"427,935,500.30"
Development Bank Index,"5,758.83",-35.73,-0.61,"602,557,256.40"
Finance Index,"2,500.31",-27.66,-1.09,"364,385,661.30"
Hotels And Tourism,"7,656.03",134.74,1.79,"375,912,396.50"
HydroPower Index,"3,509.53",-34.39,-0.97,"4,425,223,486.60"
Investment,103.77,-0.53,-0.51,"196,415,552.40"
Life Insurance,"12,915.59",-49.57,-0.38,"192,175,617.50"
Manufacturing And Processing,"9,356.93",34.56,0.37,"1,177,444,461.40"
Microfinance Index,"4,922.64",-20.90,-0.42,"272,470,495.00"
Mutual Fund,21.47,0.21,1.00,"13,487,008.49"
Non Life Insurance,"11,021.75",-39.44,-0.35,"117,660,653.80"
Others Index,"2,334.53",-13.16,-0.56,"416,071,318.70"
Trading Index,"3,790.66",-17.71,-0.46,"8,932,078.80"
