Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,654.35",-11.10,-0.41,"7,857,792,326.04"
Sensitive Index,446.81,-1.99,-0.44,"2,132,557,176.92"
Float Index,178.94,-0.79,-0.44,"7,696,693,900.22"
Sensitive Float Index,149.01,-0.76,-0.51,"2,132,557,176.92"
Banking SubIndex,"1,350.74",-8.41,-0.61,"325,991,062.70"
Development Bank Index,"5,560.96",45.88,0.83,"1,023,867,359.00"
Finance Index,"2,564.75",-63.98,-2.43,"551,609,497.29"
Hotels And Tourism,"6,829.26",-53.87,-0.78,"67,986,851.80"
HydroPower Index,"3,706.62",-20.57,-0.55,"3,314,582,991.97"
Investment,104.33,-0.83,-0.79,"570,427,493.16"
Life Insurance,"13,074.30",-2.35,-0.01,"458,742,689.10"
Manufacturing And Processing,"7,080.55",0.35,0.00,"178,710,626.10"
Microfinance Index,"4,903.00",-0.58,-0.01,"457,756,818.20"
Mutual Fund,20.09,-0.05,-0.25,"10,485,533.52"
Non Life Insurance,"12,788.96",-94.92,-0.73,"292,866,341.10"
Others Index,"2,083.29",-7.44,-0.35,"484,280,737.10"
Trading Index,"4,460.99",-10.42,-0.23,"9,981,679.50"
