Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,356.17",-20.00,-0.84,"1,496,246,808.20"
Sensitive Index,450.24,-4.32,-0.95,"1,363,370,000.00"
Float Index,160.87,-1.46,-0.90,"1,462,960,000.00"
Sensitive Float Index,144.09,-1.63,-1.12,"912,290,000.00"
Banking SubIndex,"1,580.20",-6.38,-0.40,"281,836,387.00"
Development Bank Index,"4,129.53",-75.44,-1.79,"125,640,667.10"
Finance Index,"1,754.81",-30.13,-1.69,"98,104,064.10"
Hotels And Tourism,"3,097.85",-26.36,-0.84,"17,204,412.10"
HydroPower Index,"2,672.29",-23.04,-0.85,"386,532,720.10"
Investment,77.13,-0.95,-1.21,"85,639,807.30"
Life Insurance,"12,595.36",-150.74,-1.18,"96,066,595.50"
Manufacturing And Processing,"5,537.72",-74.99,-1.34,"89,906,887.70"
Microfinance Index,"4,773.45",-38.02,-0.79,"130,773,995.50"
Mutual Fund,15.56,-0.03,-0.16,"15,425,321.12"
Non Life Insurance,"10,701.04",-41.33,-0.38,"123,969,850.20"
Others Index,"1,805.69",-26.83,-1.46,"24,396,169.50"
Trading Index,"2,142.58",-32.07,-1.47,"2,886,362.10"
