Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,869.73",12.73,0.69,"732,689,811.89"
Sensitive Index,357.91,2.07,0.58,"250,622,301.10"
Float Index,130.76,0.77,0.59,"669,188,013.60"
Sensitive Float Index,119.08,0.67,0.56,"249,648,060.50"
Banking SubIndex,"1,228.21",4.18,0.34,"158,804,203.70"
Development Bank Index,"3,436.99",22.37,0.66,"29,233,496.20"
Finance Index,"1,568.10",20.39,1.32,"14,197,027.90"
Hotels And Tourism,"3,535.08",26.91,0.77,"36,397,788.80"
HydroPower Index,"2,364.18",29.29,1.25,"204,709,934.00"
Investment,62.63,0.20,0.32,"29,188,879.20"
Life Insurance,"9,332.52",50.17,0.54,"32,376,092.00"
Manufacturing And Processing,"4,347.77",26.05,0.60,"39,702,564.80"
Microfinance Index,"3,310.40",21.39,0.65,"49,556,616.20"
Mutual Fund,13.53,0.05,0.36,"2,116,348.95"
Non Life Insurance,"8,638.71",131.67,1.55,"42,963,959.20"
Others Index,"1,379.12",12.46,0.91,"29,381,350.10"
Trading Index,"2,049.20",14.85,0.73,"2,676,101.50"
