Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,780.25",2.66,0.09,"5,738,178,165.24"
Sensitive Index,475.44,1.93,0.40,"2,023,212,151.30"
Float Index,189.28,0.41,0.21,"5,336,074,958.10"
Sensitive Float Index,160.77,0.61,0.38,"2,023,212,151.30"
Banking SubIndex,"1,459.27",-1.93,-0.13,"348,768,891.80"
Development Bank Index,"5,941.52",39.28,0.66,"276,873,662.80"
Finance Index,"2,487.07",-29.42,-1.16,"266,121,391.70"
Hotels And Tourism,"7,839.43",14.28,0.18,"107,566,940.90"
HydroPower Index,"3,890.41",-4.50,-0.11,"2,345,882,570.40"
Investment,102.28,-0.21,-0.20,"200,692,058.70"
Life Insurance,"12,768.27",217.40,1.73,"313,056,772.00"
Manufacturing And Processing,"11,168.06",47.34,0.42,"379,454,062.70"
Microfinance Index,"4,822.34",22.03,0.45,"132,037,747.10"
Mutual Fund,21.86,0.00,0.01,"19,583,319.64"
Non Life Insurance,"11,637.89",380.16,3.37,"577,456,358.00"
Others Index,"2,115.90",-51.14,-2.36,"381,983,823.50"
Trading Index,"3,607.71",-8.70,-0.24,"6,180,678.50"
