Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,832.06",-1.94,-0.06,"7,631,375,952.79"
Sensitive Index,487.55,-0.89,-0.18,"3,393,123,606.22"
Float Index,194.57,-0.10,-0.05,"7,466,995,431.42"
Sensitive Float Index,166.73,-0.28,-0.16,"3,393,123,606.22"
Banking SubIndex,"1,478.43",-7.10,-0.47,"519,935,352.92"
Development Bank Index,"5,986.51",-36.79,-0.61,"601,698,010.60"
Finance Index,"2,551.15",-10.73,-0.41,"178,830,769.00"
Hotels And Tourism,"6,922.09",-3.47,-0.05,"110,494,133.70"
HydroPower Index,"3,692.31",-5.68,-0.15,"2,936,796,638.30"
Investment,113.88,0.56,0.49,"471,254,171.10"
Life Insurance,"13,300.75",-61.30,-0.45,"253,347,696.70"
Manufacturing And Processing,"7,651.28",-8.11,-0.10,"538,139,559.20"
Microfinance Index,"5,443.09",75.85,1.41,"1,078,810,183.10"
Mutual Fund,20.47,0.00,0.00,"84,083,437.37"
Non Life Insurance,"12,694.96",-46.12,-0.36,"131,720,055.00"
Others Index,"2,594.50",11.42,0.44,"641,073,143.40"
Trading Index,"4,254.63",-28.40,-0.66,"4,895,718.40"
