Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,685.73",1.86,0.06,"8,717,847,062.68"
Sensitive Index,450.40,0.25,0.05,"2,160,800,816.35"
Float Index,182.10,0.44,0.24,"8,610,541,522.35"
Sensitive Float Index,151.31,0.24,0.16,"2,160,800,816.35"
Banking SubIndex,"1,348.32",-0.79,-0.05,"324,226,087.90"
Development Bank Index,"5,847.20",77.26,1.33,"1,021,027,216.00"
Finance Index,"2,744.38",42.27,1.56,"559,704,481.30"
Hotels And Tourism,"6,653.52",-42.72,-0.63,"80,663,579.40"
HydroPower Index,"3,832.91",-1.55,-0.04,"4,040,585,800.15"
Investment,106.74,1.29,1.22,"963,818,054.70"
Life Insurance,"13,038.65",62.55,0.48,"322,495,471.30"
Manufacturing And Processing,"7,004.65",-21.96,-0.31,"145,086,429.70"
Microfinance Index,"5,128.21",-5.70,-0.11,"586,665,041.40"
Mutual Fund,20.20,-0.01,-0.09,"11,876,760.45"
Non Life Insurance,"12,977.72",-5.19,-0.03,"209,065,351.40"
Others Index,"2,090.14",-9.90,-0.47,"344,878,600.00"
Trading Index,"4,287.98",-39.42,-0.91,"12,325,409.10"
