Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,738.72",-5.73,-0.20,"4,916,626,848.56"
Sensitive Index,464.43,-0.07,-0.01,"1,438,220,794.10"
Float Index,185.56,-0.29,-0.15,"4,826,973,680.60"
Sensitive Float Index,156.78,-0.01,0.00,"1,438,220,794.10"
Banking SubIndex,"1,434.32",0.31,0.02,"369,136,420.30"
Development Bank Index,"5,953.49",-28.94,-0.48,"377,029,569.00"
Finance Index,"2,357.48",-4.78,-0.20,"88,319,471.40"
Hotels And Tourism,"7,899.30",-3.74,-0.04,"168,387,546.70"
HydroPower Index,"3,849.42",-15.63,-0.40,"2,162,362,250.90"
Investment,102.32,-0.43,-0.42,"276,183,121.40"
Life Insurance,"12,401.21",-32.86,-0.26,"106,127,059.30"
Manufacturing And Processing,"11,423.84",96.12,0.84,"860,286,292.00"
Microfinance Index,"4,775.31",-16.41,-0.34,"151,553,611.30"
Mutual Fund,21.61,-0.11,-0.52,"4,940,676.46"
Non Life Insurance,"10,730.98",-2.98,-0.02,"48,692,882.90"
Others Index,"1,980.01",-19.56,-0.97,"215,382,074.40"
Trading Index,"3,770.87",-24.07,-0.63,"3,513,381.00"
