Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,454.89",-7.59,-0.52,"1,259,751,557.00"
Sensitive Index,305.67,1.64,-0.53,"1,185,740,000.00"
Float Index,102.20,-0.56,-0.54,"1,235,050,000.00"
Sensitive Float Index,100.91,-0.58,-0.57,"1,019,520,000.00"
Banking SubIndex,"1,254.36",-6.72,-0.53,"464,769,000.00"
Development Bank Index,"1,827.65",-13.45,-0.73,"205,206,000.00"
Finance Index,672.44,0.12,0.02,"94,662,400.00"
Hotels And Tourism,"1,635.17",-1.28,-0.08,"5,307,030.00"
HydroPower Index,963.73,3.63,-0.38,"33,978,000.00"
Life Insurance,"8,751.96",-50.51,-0.57,"166,466,000.00"
Manufacturing And Processing,"2,805.55",-38.34,-1.35,"77,568,800.00"
Microfinance Index,"2,488.67",-9.99,-0.40,"215,340,000.00"
Mutual Fund,10.70,0.14,1.30,"3,272,470.00"
Non Life Insurance,"6,686.01",-57.61,-0.85,"286,198,000.00"
Others Index,807.72,-0.97,-0.12,"112,439,000.00"
Trading Index,858.07,-17.32,-1.98,"1,403,300.00"
