Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,648.58",12.49,0.76,"3,526,777,261.00"
Sensitive Index,325.94,1.57,0.48,"3,495,830,000.00"
Float Index,114.70,0.60,0.53,"3,469,490,000.00"
Sensitive Float Index,107.06,0.37,0.35,"2,509,780,000.00"
Banking SubIndex,"1,300.37",-1.16,-0.09,"881,242,000.00"
Development Bank Index,"2,099.27",-6.76,-0.32,"421,400,000.00"
Finance Index,868.80,4.27,0.49,"226,299,000.00"
Hotels And Tourism,"1,785.10",27.75,1.58,"11,144,900.00"
HydroPower Index,"1,463.02",30.59,2.14,"884,989,000.00"
Life Insurance,"9,792.06",86.93,0.90,"227,020,000.00"
Manufacturing And Processing,"3,156.76",122.68,4.04,"273,733,000.00"
Microfinance Index,"2,666.27",10.85,0.41,"264,559,000.00"
Mutual Fund,11.05,0.15,1.41,"9,947,470.00"
Non Life Insurance,"8,209.28",18.79,0.23,"453,373,000.00"
Others Index,"1,109.29",28.45,2.63,"453,596,000.00"
Trading Index,"1,331.63",105.19,8.58,"27,684,200.00"
