Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,860.20",9.87,0.53,"1,348,347,430.30"
Sensitive Index,356.98,2.76,0.78,"267,640,228.50"
Float Index,128.48,0.69,0.54,"1,333,052,799.90"
Sensitive Float Index,116.16,1.00,0.87,"267,314,865.50"
Banking SubIndex,"1,163.95",-8.49,-0.72,"253,762,814.20"
Development Bank Index,"3,628.73",62.58,1.75,"61,268,003.70"
Finance Index,"1,624.49",18.37,1.14,"42,836,374.50"
Hotels And Tourism,"4,993.34",30.69,0.61,"46,147,152.60"
HydroPower Index,"1,981.89",21.40,1.09,"260,844,602.10"
Investment,66.20,0.27,0.42,"68,058,788.00"
Life Insurance,"10,119.76",330.66,3.37,"236,939,288.20"
Manufacturing And Processing,"4,864.13",44.01,0.91,"169,148,319.60"
Microfinance Index,"3,272.67",-9.45,-0.28,"53,725,703.10"
Mutual Fund,17.43,0.01,0.07,"3,308,591.20"
Non Life Insurance,"9,768.64",179.07,1.86,"108,857,630.50"
Others Index,"1,395.99",-1.45,-0.10,"23,108,831.50"
Trading Index,"2,699.70",31.00,1.16,"8,355,291.90"
