Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,561.47",37.48,1.48,"10,619,163,869.00"
Sensitive Index,466.60,7.28,1.58,"11,134,900,000.00"
Float Index,174.50,3.36,1.96,"10,571,600,000.00"
Sensitive Float Index,149.66,3.31,2.26,"9,120,790,000.00"
Banking SubIndex,"1,779.27",62.72,3.65,"3,489,050,000.00"
Development Bank Index,"2,575.63",86.42,3.47,"2,616,450,000.00"
Finance Index,"1,152.19",22.68,2.01,"1,132,390,000.00"
Hotels And Tourism,"2,117.34",28.86,1.38,"38,771,800.00"
HydroPower Index,"1,998.40",-19.73,-0.98,"821,592,000.00"
Life Insurance,"18,861.35",211.37,1.13,"1,145,140,000.00"
Manufacturing And Processing,"6,092.43",-74.89,-1.21,"316,339,000.00"
Microfinance Index,"4,609.20",-31.42,-0.68,"2,336,710,000.00"
Mutual Fund,12.15,0.12,0.99,"25,154,900.00"
Non Life Insurance,"13,390.12",-131.92,-0.98,"2,191,730,000.00"
Others Index,"2,092.20",9.69,0.47,"633,881,000.00"
Trading Index,"3,115.01",-3.96,-0.13,"7,920,440.00"
