Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,994.58",13.97,0.47,"11,813,754,607.00"
Sensitive Index,560.94,-0.02,0.00,"11,930,900,000.00"
Float Index,208.82,0.83,0.40,"11,116,300,000.00"
Sensitive Float Index,186.70,0.11,0.06,"8,579,060,000.00"
Banking SubIndex,"2,068.22",10.84,0.53,"3,918,410,000.00"
Development Bank Index,"4,829.17",-18.30,-0.38,"2,314,410,000.00"
Finance Index,"2,519.12",-29.79,-1.17,"1,562,110,000.00"
Hotels And Tourism,"3,589.81",-16.04,-0.44,"59,528,800.00"
HydroPower Index,"2,936.77",-1.54,-0.05,"2,325,220,000.00"
Investment,109.55,1.59,1.47,"397,539,000.00"
Life Insurance,"17,720.80",53.15,0.30,"374,913,000.00"
Manufacturing And Processing,"6,286.92",41.23,0.66,"227,939,000.00"
Microfinance Index,"5,510.36",-4.42,-0.08,"1,007,720,000.00"
Mutual Fund,16.37,0.10,0.58,"298,322,000.00"
Non Life Insurance,"14,558.77",101.44,0.70,"868,929,000.00"
Others Index,"2,177.17",16.87,0.78,"565,942,000.00"
Trading Index,"3,953.75",196.02,5.22,"52,139,000.00"
