Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,919.42",1.02,0.05,"816,219,129.76"
Sensitive Index,361.14,0.62,0.17,"315,561,643.20"
Float Index,134.22,-0.07,-0.06,"797,047,753.30"
Sensitive Float Index,120.12,0.16,0.14,"314,071,834.70"
Banking SubIndex,"1,227.68",-0.14,-0.01,"171,687,692.80"
Development Bank Index,"3,529.39",-12.87,-0.36,"30,681,276.40"
Finance Index,"1,640.01",-5.69,-0.35,"24,978,545.80"
Hotels And Tourism,"3,159.68",41.71,1.34,"25,702,342.30"
HydroPower Index,"2,574.66",-0.96,-0.04,"245,277,946.90"
Investment,65.09,0.14,0.22,"30,746,932.30"
Life Insurance,"9,558.66",-50.84,-0.53,"57,443,230.20"
Manufacturing And Processing,"4,440.13",-3.93,-0.09,"53,937,944.00"
Microfinance Index,"3,452.72",9.19,0.27,"95,379,795.60"
Mutual Fund,13.37,-0.02,-0.19,"2,029,982.16"
Non Life Insurance,"8,757.11",18.66,0.21,"38,056,118.50"
Others Index,"1,450.41",9.12,0.63,"18,980,520.10"
Trading Index,"2,135.88",-19.07,-0.89,"4,175,408.40"
