Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,569.06",-6.12,-0.39,"2,637,376,216.00"
Sensitive Index,312.24,-1.38,-0.44,"2,481,940,000.00"
Float Index,108.92,-0.37,-0.34,"2,598,600,000.00"
Sensitive Float Index,102.70,-0.43,-0.42,"1,997,220,000.00"
Banking SubIndex,"1,264.47",-4.32,-0.34,"914,801,000.00"
Development Bank Index,"1,852.34",-11.50,-0.62,"352,538,000.00"
Finance Index,746.07,-9.43,-1.25,"171,821,000.00"
Hotels And Tourism,"1,755.28",-32.61,-1.82,"14,440,000.00"
HydroPower Index,"1,231.80",-5.88,-0.47,"375,297,000.00"
Life Insurance,"9,755.85",-67.85,-0.69,"292,382,000.00"
Manufacturing And Processing,"3,076.24",12.23,0.40,"66,042,300.00"
Microfinance Index,"2,584.27",-7.38,-0.28,"266,953,000.00"
Mutual Fund,10.76,-0.11,-1.03,"8,827,370.00"
Non Life Insurance,"8,022.38",-54.98,-0.68,"464,538,000.00"
Others Index,"1,008.90",-1.43,-0.14,"221,816,000.00"
Trading Index,"1,005.84",-10.99,-1.08,"2,575,070.00"
