Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,875.07",8.39,0.45,"816,046,790.00"
Sensitive Index,353.95,1.97,0.56,"266,399,642.60"
Float Index,131.15,0.64,0.49,"796,493,663.80"
Sensitive Float Index,117.64,0.64,0.55,"264,093,575.60"
Banking SubIndex,"1,202.38",7.82,0.65,"169,424,196.30"
Development Bank Index,"3,455.32",3.89,0.11,"45,218,242.20"
Finance Index,"1,596.26",6.39,0.40,"20,247,759.60"
Hotels And Tourism,"3,174.88",32.78,1.04,"13,415,308.40"
HydroPower Index,"2,494.50",10.24,0.41,"221,717,789.80"
Investment,63.68,0.38,0.60,"27,289,963.90"
Life Insurance,"9,389.82",29.34,0.31,"56,046,140.00"
Manufacturing And Processing,"4,319.06",-4.28,-0.10,"84,028,261.70"
Microfinance Index,"3,382.12",29.05,0.87,"61,805,090.80"
Mutual Fund,13.38,0.09,0.68,"1,316,532.50"
Non Life Insurance,"8,442.86",-44.35,-0.52,"15,404,673.40"
Others Index,"1,414.74",3.78,0.27,"15,404,673.40"
Trading Index,"2,095.92",-8.61,-0.41,"1,297,680.00"
