Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,798.83",-26.07,-0.92,"11,974,696,088.00"
Sensitive Index,480.41,-6.38,-1.31,"3,709,732,615.80"
Float Index,193.14,-2.07,-1.06,"11,632,379,652.40"
Sensitive Float Index,163.91,-2.10,-1.26,"3,709,732,615.80"
Banking SubIndex,"1,463.77",-23.96,-1.61,"732,857,852.70"
Development Bank Index,"6,034.01",-51.46,-0.84,"465,695,923.80"
Finance Index,"2,584.50",-18.70,-0.71,"495,145,952.70"
Hotels And Tourism,"7,435.64",-19.39,-0.26,"108,901,064.50"
HydroPower Index,"3,758.48",-23.33,-0.61,"7,567,466,816.10"
Investment,108.82,-1.69,-1.52,"400,034,097.50"
Life Insurance,"13,318.34",-127.68,-0.94,"248,418,430.00"
Manufacturing And Processing,"9,675.55",24.76,0.25,"859,305,408.00"
Microfinance Index,"5,027.07",-38.16,-0.75,"331,601,135.90"
Mutual Fund,21.72,-0.09,-0.43,"11,162,467.11"
Non Life Insurance,"11,473.99",-52.65,-0.45,"131,702,249.80"
Others Index,"2,360.38",-26.25,-1.09,"283,700,808.20"
Trading Index,"3,819.34",-8.17,-0.21,"7,549,913.20"
