Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,538.46",63.38,2.56,"5,919,824,569.00"
Sensitive Index,453.59,9.44,2.13,"6,163,170,000.00"
Float Index,174.34,4.26,2.51,"5,842,800,000.00"
Sensitive Float Index,147.44,3.16,2.19,"4,613,490,000.00"
Banking SubIndex,"1,788.76",26.52,1.51,"1,606,040,000.00"
Development Bank Index,"2,578.87",45.46,1.80,"1,224,490,000.00"
Finance Index,"1,153.31",6.37,0.56,"320,275,000.00"
Hotels And Tourism,"3,022.05",154.24,5.38,"31,821,800.00"
HydroPower Index,"2,122.63",13.80,0.65,"702,376,000.00"
Investment,97.97,1.25,1.29,"363,556,000.00"
Life Insurance,"17,482.79",742.76,4.44,"624,760,000.00"
Manufacturing And Processing,"5,700.99",172.88,3.13,"242,719,000.00"
Microfinance Index,"4,575.11",246.60,5.70,"1,177,310,000.00"
Mutual Fund,13.05,0.16,1.23,"31,307,600.00"
Non Life Insurance,"12,791.00",561.34,4.59,"1,209,140,000.00"
Others Index,"2,004.50",57.94,2.98,"611,556,000.00"
Trading Index,"3,725.44",13.20,0.36,"34,200,500.00"
