Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,788.36",2.62,0.09,"7,464,177,704.29"
Sensitive Index,478.82,-0.93,-0.19,"3,276,526,250.70"
Float Index,190.88,-0.11,-0.06,"7,342,390,558.50"
Sensitive Float Index,163.58,-0.31,-0.19,"3,276,526,250.70"
Banking SubIndex,"1,446.35",-8.10,-0.55,"899,995,844.60"
Development Bank Index,"5,858.92",9.78,0.16,"511,428,355.70"
Finance Index,"2,501.91",-13.39,-0.53,"131,415,194.70"
Hotels And Tourism,"6,956.58",-7.28,-0.10,"89,891,621.20"
HydroPower Index,"3,602.28",-7.54,-0.20,"2,724,380,841.70"
Investment,112.32,0.20,0.17,"674,922,547.40"
Life Insurance,"13,072.27",-6.55,-0.05,"157,329,109.30"
Manufacturing And Processing,"7,637.37",43.32,0.57,"506,767,080.50"
Microfinance Index,"5,236.37",-6.58,-0.12,"533,877,516.00"
Mutual Fund,20.47,-0.08,-0.42,"46,213,374.59"
Non Life Insurance,"12,425.75",-27.83,-0.22,"101,917,883.30"
Others Index,"2,660.99",47.16,1.80,"1,005,936,060.60"
Trading Index,"4,175.54",40.25,0.97,"4,528,503.50"
