Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,775.85",17.80,0.64,"8,521,219,299.67"
Sensitive Index,471.21,-0.58,-0.12,"2,496,410,741.98"
Float Index,186.53,0.37,0.20,"8,396,461,476.98"
Sensitive Float Index,155.93,-0.26,-0.17,"2,496,410,741.98"
Banking SubIndex,"1,459.44",-2.89,-0.19,"572,554,265.60"
Development Bank Index,"5,997.63",-22.81,-0.37,"874,032,410.70"
Finance Index,"3,509.03",48.27,1.39,"1,175,041,165.00"
Hotels And Tourism,"7,140.64",-124.67,-1.71,"116,687,829.00"
HydroPower Index,"3,626.44",66.09,1.85,"3,753,442,957.85"
Investment,105.81,-0.44,-0.41,"450,441,475.01"
Life Insurance,"13,853.70",208.03,1.52,"383,845,202.80"
Manufacturing And Processing,"6,804.26",4.57,0.06,"149,154,283.00"
Microfinance Index,"5,105.06",-16.72,-0.32,"457,691,771.20"
Mutual Fund,21.98,0.08,0.37,"13,945,881.49"
Non Life Insurance,"13,147.89",-69.07,-0.52,"212,951,369.42"
Others Index,"2,028.63",5.47,0.27,"168,141,943.20"
Trading Index,"5,362.34",301.75,5.96,"100,967,207.80"
