Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,347.44",5.04,0.38,"994,545,109.00"
Sensitive Index,284.18,1.95,0.69,"924,974,000.00"
Float Index,94.26,0.45,0.48,"940,213,000.00"
Sensitive Float Index,93.18,0.78,0.84,"779,545,000.00"
Banking SubIndex,"1,128.62",4.09,0.36,"270,583,000.00"
Development Bank Index,"1,704.51",-1.69,-0.10,"275,838,000.00"
Finance Index,650.97,-4.75,-0.72,"90,046,000.00"
Hotels And Tourism,"1,513.16",55.29,3.79,"3,605,310.00"
HydroPower Index,961.30,2.96,0.31,"28,614,900.00"
Life Insurance,"8,130.74",-19.43,-0.24,"100,293,000.00"
Manufacturing And Processing,"2,727.52",-23.97,-0.87,"50,986,400.00"
Microfinance Index,"2,448.78",64.94,2.72,"267,667,000.00"
Mutual Fund,10.24,0.13,1.29,"2,758,800.00"
Non Life Insurance,"6,236.27",-6.41,-0.10,"169,381,000.00"
Others Index,757.79,-2.00,-0.26,"122,772,000.00"
Trading Index,863.14,-14.57,-1.66,"1,030,790.00"
