Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,819.86",-17.75,-0.63,"7,777,510,778.00"
Sensitive Index,528.58,-1.88,-0.35,"7,973,700,000.00"
Float Index,196.34,-1.32,-0.67,"7,689,540,000.00"
Sensitive Float Index,176.20,-0.89,-0.50,"5,695,700,000.00"
Banking SubIndex,"1,895.03",4.69,0.25,"1,499,108,443.00"
Development Bank Index,"5,465.52",-42.84,-1.29,"1,341,068,552.10"
Finance Index,"2,643.12",-43.85,-1.63,"590,922,330.70"
Hotels And Tourism,"3,463.03",7.79,0.23,"69,188,859.80"
HydroPower Index,"3,114.79",-74.19,-2.33,"2,096,114,736.90"
Investment,94.56,0.35,0.37,"229,315,507.30"
Life Insurance,"15,796.69",-115.75,-0.73,"244,368,072.60"
Manufacturing And Processing,"6,558.03",-120.56,-1.81,"141,510,139.20"
Microfinance Index,"5,557.45",-91.32,-1.62,"998,607,362.30"
Mutual Fund,15.77,-0.12,-0.76,"16,689,500.34"
Non Life Insurance,"13,040.86",-54.59,-0.42,"356,151,986.10"
Others Index,"1,911.14",-26.42,-1.36,"115,173,709.00"
Trading Index,"3,279.00",-42.84,-1.29,"8,485,349.00"
