Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,607.37",-1.66,-0.06,"3,497,979,756.56"
Sensitive Index,446.30,0.11,0.02,"1,193,073,843.20"
Float Index,178.05,-0.10,-0.06,"3,464,156,132.10"
Sensitive Float Index,151.27,-0.07,-0.04,"1,193,073,843.20"
Banking SubIndex,"1,336.30",2.13,0.15,"241,330,063.60"
Development Bank Index,"5,346.66",-10.56,-0.19,"140,920,731.70"
Finance Index,"2,285.87",-14.98,-0.65,"87,275,250.00"
Hotels And Tourism,"6,961.98",-38.30,-0.54,"93,660,144.40"
HydroPower Index,"3,361.16",-12.39,-0.36,"1,549,971,319.70"
Investment,102.96,-0.30,-0.29,"149,590,547.10"
Life Insurance,"13,255.41",24.96,0.18,"275,490,816.60"
Manufacturing And Processing,"8,249.12",75.83,0.92,"389,454,508.30"
Microfinance Index,"4,895.01",4.58,0.09,"234,589,893.80"
Mutual Fund,20.10,-0.07,-0.38,"6,121,495.37"
Non Life Insurance,"10,802.52",-18.26,-0.16,"57,985,976.50"
Others Index,"2,334.38",-14.87,-0.63,"232,501,742.40"
Trading Index,"3,795.31",2.92,0.07,"11,385,138.00"
