Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,565.55",4.29,0.27,"3,138,243,371.00"
Sensitive Index,310.47,0.90,0.29,"3,053,250,000.00"
Float Index,108.71,0.49,0.45,"3,093,380,000.00"
Sensitive Float Index,102.17,0.49,0.48,"2,422,550,000.00"
Banking SubIndex,"1,258.64",13.74,1.10,"941,621,000.00"
Development Bank Index,"1,845.31",13.00,0.71,"201,499,000.00"
Finance Index,766.85,11.63,1.54,"281,178,000.00"
Hotels And Tourism,"1,785.55",51.71,2.98,"493,022,000.00"
HydroPower Index,"1,283.29",-13.10,-1.01,"768,093,000.00"
Life Insurance,"9,613.36",-83.59,-0.86,"159,629,000.00"
Manufacturing And Processing,"3,010.29",-44.81,-1.47,"68,660,300.00"
Microfinance Index,"2,564.11",-6.62,-0.26,"120,065,000.00"
Mutual Fund,10.72,0.03,0.26,"10,393,700.00"
Non Life Insurance,"7,858.00",-72.53,-0.91,"294,005,000.00"
Others Index,"1,016.44",-1.54,-0.15,"234,621,000.00"
Trading Index,"1,087.57",-1.94,-0.18,"2,734,000.00"
