Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,714.81",42.26,1.58,"11,858,421,070.67"
Sensitive Index,467.25,7.82,1.70,"4,450,987,105.60"
Float Index,186.84,3.19,1.73,"11,737,937,445.20"
Sensitive Float Index,159.57,2.87,1.83,"4,450,987,105.60"
Banking SubIndex,"1,398.26",17.15,1.24,"590,031,391.90"
Development Bank Index,"5,831.09",83.71,1.45,"799,584,461.30"
Finance Index,"2,587.14",24.99,0.97,"1,057,773,281.70"
Hotels And Tourism,"7,428.58",241.55,3.36,"386,951,219.90"
HydroPower Index,"3,466.47",60.60,1.77,"5,190,818,824.60"
Investment,105.67,2.62,2.54,"725,437,648.10"
Life Insurance,"13,272.53",243.14,1.86,"443,441,666.60"
Manufacturing And Processing,"9,161.76",126.66,1.40,"1,135,663,935.90"
Microfinance Index,"5,028.84",76.59,1.54,"455,916,553.90"
Mutual Fund,21.04,0.21,1.04,"13,795,899.37"
Non Life Insurance,"11,206.56",182.02,1.65,"174,063,547.00"
Others Index,"2,402.67",34.24,1.44,"766,470,318.30"
Trading Index,"3,845.09",14.51,0.37,"11,784,596.00"
