Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,046.81",-23.60,-1.14,"1,947,623,993.42"
Sensitive Index,391.53,-4.91,-1.24,"743,879,344.90"
Float Index,143.72,-1.57,-1.08,"1,916,250,884.70"
Sensitive Float Index,131.27,-1.55,-1.16,"740,175,399.80"
Banking SubIndex,"1,341.90",-10.11,-0.75,"325,926,197.20"
Development Bank Index,"3,609.69",-38.86,-1.07,"67,667,595.10"
Finance Index,"1,693.58",-14.86,-0.87,"79,645,780.60"
Hotels And Tourism,"3,095.13",-27.97,-0.90,"13,539,817.20"
HydroPower Index,"2,517.61",-24.06,-0.95,"548,515,123.90"
Investment,64.33,-0.52,-0.80,"68,304,253.30"
Life Insurance,"10,226.78",-86.66,-0.84,"98,715,236.30"
Manufacturing And Processing,"4,977.78",-164.72,-3.20,"245,751,157.20"
Microfinance Index,"4,379.29",-105.06,-2.34,"243,188,229.50"
Mutual Fund,14.41,0.11,0.79,"16,008,622.24"
Non Life Insurance,"8,896.40",-63.25,-0.71,"71,025,905.60"
Others Index,"1,465.64",-22.15,-1.49,"37,847,396.80"
Trading Index,"2,231.27",9.00,0.40,"116,124,192.00"
