Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,600.97",14.68,0.93,"3,358,506,296.00"
Sensitive Index,316.39,3.17,1.01,"3,437,440,000.00"
Float Index,111.35,1.07,0.97,"3,339,110,000.00"
Sensitive Float Index,104.26,1.03,1.00,"2,338,580,000.00"
Banking SubIndex,"1,275.22",5.53,0.44,"796,786,000.00"
Development Bank Index,"2,079.94",77.98,3.90,"458,166,000.00"
Finance Index,811.60,23.14,2.94,"187,310,000.00"
Hotels And Tourism,"1,817.70",52.67,2.98,"18,514,300.00"
HydroPower Index,"1,447.25",75.93,5.54,"1,328,850,000.00"
Life Insurance,"9,594.69",17.66,0.18,"148,146,000.00"
Manufacturing And Processing,"3,134.89",-1.03,-0.03,"149,017,000.00"
Microfinance Index,"2,540.59",-0.20,-0.01,"134,620,000.00"
Mutual Fund,10.58,0.05,0.49,"4,015,360.00"
Non Life Insurance,"7,971.99",76.08,0.96,"282,363,000.00"
Others Index,"1,030.80",4.70,0.46,"221,746,000.00"
Trading Index,"1,070.97",6.90,0.65,"2,388,590.00"
