Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,004.30",-18.60,-0.91,"1,814,359,022.20"
Sensitive Index,382.94,-3.29,-0.85,"512,089,823.10"
Float Index,139.22,-1.22,-0.87,"1,776,463,675.10"
Sensitive Float Index,126.63,-1.10,-0.86,"509,238,674.00"
Banking SubIndex,"1,252.78",-7.67,-0.60,"273,706,185.50"
Development Bank Index,"3,818.77",-53.58,-1.38,"116,644,457.60"
Finance Index,"1,760.52",-25.46,-1.42,"70,119,362.10"
Hotels And Tourism,"5,393.13",-48.02,-0.88,"69,951,511.10"
HydroPower Index,"2,190.00",-33.58,-1.51,"550,444,908.10"
Investment,69.12,-0.85,-1.22,"97,195,244.30"
Life Insurance,"10,758.32",-88.91,-0.81,"228,230,070.40"
Manufacturing And Processing,"5,254.77",-26.59,-0.50,"101,603,972.70"
Microfinance Index,"3,691.99",-29.01,-0.77,"146,938,097.40"
Mutual Fund,18.93,-0.02,-0.12,"17,640,206.30"
Non Life Insurance,"10,512.23",-100.68,-0.94,"77,285,062.80"
Others Index,"1,452.97",-20.88,-1.41,"30,601,458.10"
Trading Index,"2,947.24",-14.48,-0.48,"13,743,345.00"
