Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,863.94",5.17,0.27,"782,743,264.94"
Sensitive Index,358.40,0.21,0.05,"144,582,106.60"
Float Index,128.75,0.27,0.21,"681,567,459.00"
Sensitive Float Index,116.94,0.01,0.01,"143,982,290.60"
Banking SubIndex,"1,175.47",2.99,0.25,"98,768,973.00"
Development Bank Index,"3,562.74",-13.75,-0.38,"29,873,150.10"
Finance Index,"1,625.99",5.38,0.33,"17,902,693.30"
Hotels And Tourism,"5,055.41",-33.01,-0.64,"32,632,157.40"
HydroPower Index,"1,952.67",12.61,0.65,"139,788,903.60"
Investment,65.42,-0.28,-0.43,"36,738,836.50"
Life Insurance,"9,801.96",50.32,0.51,"108,575,004.90"
Manufacturing And Processing,"4,993.65",57.50,1.16,"112,787,216.80"
Microfinance Index,"3,432.82",8.42,0.24,"34,966,559.80"
Mutual Fund,17.32,0.00,0.00,"2,625,675.44"
Non Life Insurance,"9,568.93",-22.73,-0.23,"45,450,979.10"
Others Index,"1,416.83",10.32,0.73,"19,121,883.50"
Trading Index,"2,636.72",5.50,0.20,"4,961,101.00"
