Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,101.16",15.33,0.73,"3,586,984,128.47"
Sensitive Index,375.99,1.24,0.33,"661,580,164.10"
Float Index,143.34,0.89,0.63,"3,560,848,883.70"
Sensitive Float Index,123.19,0.18,0.15,"620,186,571.10"
Banking SubIndex,"1,134.76",0.65,0.05,"287,511,850.50"
Development Bank Index,"4,121.16",23.14,0.56,"108,537,617.10"
Finance Index,"1,813.07",20.83,1.16,"72,969,543.00"
Hotels And Tourism,"5,468.40",20.09,0.36,"82,614,295.20"
HydroPower Index,"2,731.54",49.20,1.83,"1,674,076,151.70"
Investment,80.80,0.99,1.25,"262,114,441.50"
Life Insurance,"10,682.83",38.16,0.35,"157,118,059.00"
Manufacturing And Processing,"5,788.93",125.93,2.22,"240,074,496.10"
Microfinance Index,"3,734.69",12.01,0.32,"104,628,858.00"
Mutual Fund,18.34,0.10,0.54,"13,388,130.38"
Non Life Insurance,"10,986.22",183.66,1.70,"251,192,256.90"
Others Index,"1,794.88",-0.93,-0.05,"317,265,963.10"
Trading Index,"2,824.11",12.57,0.44,"2,745,351.60"
