Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,639.37",28.73,1.10,"6,473,736,099.26"
Sensitive Index,454.92,3.84,0.85,"2,206,568,529.00"
Float Index,180.98,2.01,1.12,"6,427,173,485.70"
Sensitive Float Index,154.76,1.55,1.01,"2,206,568,529.00"
Banking SubIndex,"1,369.15",9.21,0.67,"398,168,793.90"
Development Bank Index,"5,567.95",146.38,2.70,"434,067,791.10"
Finance Index,"2,321.52",19.31,0.83,"256,030,881.40"
Hotels And Tourism,"7,136.34",176.14,2.53,"259,538,274.90"
HydroPower Index,"3,360.38",47.81,1.44,"2,354,401,047.00"
Investment,102.81,1.27,1.25,"243,219,410.30"
Life Insurance,"12,876.94",63.82,0.49,"254,182,758.50"
Manufacturing And Processing,"8,895.26",263.35,3.05,"1,225,125,590.90"
Microfinance Index,"4,914.75",25.97,0.53,"359,605,911.50"
Mutual Fund,20.59,0.08,0.43,"8,540,022.17"
Non Life Insurance,"10,942.25",63.03,0.57,"135,560,985.70"
Others Index,"2,345.73",17.12,0.73,"498,953,994.90"
Trading Index,"3,779.38",8.42,0.22,"8,318,045.60"
