Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,085.71",9.44,0.45,"2,591,534,907.76"
Sensitive Index,377.83,-1.45,-0.38,"507,020,735.90"
Float Index,142.18,0.88,0.62,"2,566,647,410.10"
Sensitive Float Index,123.60,0.23,0.19,"502,304,970.00"
Banking SubIndex,"1,140.70",2.09,0.18,"208,892,744.10"
Development Bank Index,"4,055.98",34.76,0.86,"96,408,777.40"
Finance Index,"1,798.70",5.70,0.31,"64,746,579.50"
Hotels And Tourism,"5,434.42",40.91,0.75,"44,333,216.80"
HydroPower Index,"2,613.99",20.16,0.77,"940,360,060.80"
Investment,79.59,0.16,0.20,"165,717,358.90"
Life Insurance,"10,545.41",79.14,0.75,"134,788,622.00"
Manufacturing And Processing,"5,823.72",62.45,1.08,"140,050,000.40"
Microfinance Index,"3,717.66",30.73,0.83,"111,504,885.60"
Mutual Fund,18.34,0.04,0.24,"13,408,951.06"
Non Life Insurance,"10,845.24",114.93,1.07,"119,264,571.70"
Others Index,"1,836.54",-10.18,-0.55,"538,073,162.90"
Trading Index,"2,827.73",-15.57,-0.54,"2,507,430.00"
