Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,936.56",5.01,0.17,"15,786,313,440.11"
Sensitive Index,505.02,-0.28,-0.05,"6,385,951,878.56"
Float Index,203.28,0.33,0.16,"15,560,518,957.96"
Sensitive Float Index,172.59,0.03,0.01,"6,385,951,878.56"
Banking SubIndex,"1,556.55",-4.36,-0.27,"1,869,623,275.86"
Development Bank Index,"6,436.33",-32.37,-0.50,"1,116,155,145.50"
Finance Index,"2,691.39",5.56,0.20,"504,626,775.70"
Hotels And Tourism,"7,716.03",-67.69,-0.86,"195,044,587.40"
HydroPower Index,"3,957.28",37.71,0.96,"7,360,985,070.30"
Investment,113.11,0.81,0.72,"920,373,849.20"
Life Insurance,"13,850.53",-65.62,-0.47,"480,639,532.00"
Manufacturing And Processing,"10,233.30",154.43,1.53,"1,464,806,673.70"
Microfinance Index,"5,312.77",22.82,0.43,"986,928,864.30"
Mutual Fund,22.28,0.19,0.88,"27,374,143.46"
Non Life Insurance,"11,991.39",-4.98,-0.04,"199,800,915.80"
Others Index,"2,446.35",0.43,0.01,"436,820,750.20"
Trading Index,"3,788.14",-24.12,-0.63,"24,713,518.00"
