Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,541.40",5.36,0.35,"1,845,634,030.00"
Sensitive Index,305.48,0.83,0.27,"1,853,100,000.00"
Float Index,106.45,0.28,0.30,"1,808,030,000.00"
Sensitive Float Index,100.19,0.14,0.14,"1,418,180,000.00"
Banking SubIndex,"1,221.31",-4.58,-0.37,"322,474,000.00"
Development Bank Index,"1,771.91",2.08,0.12,"205,794,000.00"
Finance Index,684.90,1.13,0.16,"101,641,000.00"
Hotels And Tourism,"1,723.03",142.81,9.04,"57,130,000.00"
HydroPower Index,"1,201.67",54.09,4.71,"397,523,000.00"
Life Insurance,"9,830.07",72.14,0.74,"252,409,000.00"
Manufacturing And Processing,"3,052.85",2.82,0.09,"50,102,700.00"
Microfinance Index,"2,593.25",4.87,0.19,"177,443,000.00"
Mutual Fund,10.86,0.51,0.60,"9,637,870.00"
Non Life Insurance,"8,147.88",42.37,0.52,"556,956,000.00"
Others Index,"1,012.00",1.48,0.15,"186,392,000.00"
Trading Index,"1,010.27",20.93,2.12,"3,266,080.00"
