Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,644.70",-0.53,-0.02,"4,481,394,149.97"
Sensitive Index,453.99,-1.26,-0.27,"1,293,772,434.51"
Float Index,180.96,-0.08,-0.04,"4,428,897,079.21"
Sensitive Float Index,154.24,-0.38,-0.24,"1,293,772,434.51"
Banking SubIndex,"1,363.97",-8.03,-0.58,"273,688,891.50"
Development Bank Index,"5,450.02",9.72,0.17,"300,148,713.70"
Finance Index,"2,309.09",6.44,0.27,"119,009,703.91"
Hotels And Tourism,"7,007.21",-44.29,-0.62,"85,369,406.00"
HydroPower Index,"3,422.39",23.89,0.70,"2,482,485,482.40"
Investment,105.09,-0.04,-0.04,"133,607,558.40"
Life Insurance,"13,322.01",-76.69,-0.57,"239,056,466.20"
Manufacturing And Processing,"8,036.16",40.96,0.51,"194,250,836.70"
Microfinance Index,"4,999.48",-3.33,-0.06,"263,244,594.50"
Mutual Fund,20.08,0.05,0.27,"16,716,380.16"
Non Life Insurance,"11,055.42",29.41,0.26,"79,995,900.30"
Others Index,"2,371.38",0.07,0.00,"255,670,150.60"
Trading Index,"3,833.67",28.74,0.75,"2,369,375.00"
