Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,705.45",-6.31,-0.23,"4,047,858,084.12"
Sensitive Index,464.64,-1.48,-0.31,"1,016,679,635.80"
Float Index,184.79,-0.53,-0.28,"3,660,935,254.50"
Sensitive Float Index,157.16,-0.57,-0.36,"1,016,679,635.80"
Banking SubIndex,"1,434.95",-4.68,-0.32,"399,371,319.20"
Development Bank Index,"5,762.13",-24.35,-0.42,"223,574,621.00"
Finance Index,"2,440.32",-15.34,-0.62,"200,010,341.40"
Hotels And Tourism,"7,711.48",-13.08,-0.16,"162,877,524.40"
HydroPower Index,"3,784.00",-10.85,-0.28,"1,787,063,949.30"
Investment,99.95,-0.27,-0.27,"92,176,470.50"
Life Insurance,"12,386.93",-24.95,-0.20,"66,839,884.70"
Manufacturing And Processing,"10,992.31",-16.11,-0.14,"423,253,333.90"
Microfinance Index,"4,729.85",-5.43,-0.11,"121,281,864.50"
Mutual Fund,21.85,0.01,0.05,"27,549,930.42"
Non Life Insurance,"11,203.34",-45.71,-0.40,"69,584,168.20"
Others Index,"2,004.76",-1.30,-0.06,"112,513,642.90"
Trading Index,"3,378.43",10.56,0.31,"2,388,134.50"
