Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,486.76",-32.81,-1.30,"4,841,407,720.13"
Sensitive Index,447.45,-5.34,-1.17,"2,221,625,304.20"
Float Index,171.59,-2.33,-1.34,"4,692,823,037.60"
Sensitive Float Index,147.37,-1.96,-1.31,"1,414,297,083.20"
Banking SubIndex,"1,438.36",-16.77,-1.15,"422,607,712.50"
Development Bank Index,"4,918.58",-58.32,-1.17,"238,771,827.90"
Finance Index,"2,765.24",-58.59,-2.07,"491,347,954.70"
Hotels And Tourism,"6,053.04",-145.63,-2.34,"71,915,803.40"
HydroPower Index,"3,028.53",-71.33,-2.30,"1,811,469,939.80"
Investment,99.20,-1.71,-1.70,"357,535,858.20"
Life Insurance,"12,224.58",-115.21,-0.93,"303,450,545.10"
Manufacturing And Processing,"6,675.96",0.30,0.00,"193,623,033.50"
Microfinance Index,"4,645.47",-62.06,-1.31,"309,290,797.70"
Mutual Fund,20.72,-0.06,-0.29,"35,084,766.04"
Non Life Insurance,"12,592.21",-101.26,-0.79,"330,668,816.80"
Others Index,"1,890.91",-18.67,-0.97,"189,528,810.80"
Trading Index,"3,485.21",35.15,1.01,"21,064,553.90"
