Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,735.14",-20.27,-0.73,"4,084,896,190.31"
Sensitive Index,469.37,-2.62,-0.55,"1,105,066,133.60"
Float Index,186.63,-1.24,-0.66,"3,762,276,327.50"
Sensitive Float Index,158.76,-0.89,-0.56,"1,105,066,133.60"
Banking SubIndex,"1,445.60",-6.61,-0.45,"315,528,465.60"
Development Bank Index,"5,847.31",-58.09,-0.98,"205,075,550.30"
Finance Index,"2,557.12",6.85,0.26,"614,694,269.70"
Hotels And Tourism,"7,703.38",-55.82,-0.71,"198,978,422.40"
HydroPower Index,"3,804.96",-36.83,-0.95,"1,362,570,696.40"
Investment,101.03,-0.38,-0.38,"91,706,590.00"
Life Insurance,"12,583.34",-68.69,-0.54,"129,313,170.00"
Manufacturing And Processing,"10,971.31",-49.40,-0.44,"350,362,630.70"
Microfinance Index,"4,779.71",-25.45,-0.52,"135,783,729.60"
Mutual Fund,21.86,-0.13,-0.59,"10,599,038.91"
Non Life Insurance,"11,407.98",-96.03,-0.83,"142,594,514.30"
Others Index,"2,052.95",-31.25,-1.49,"204,967,326.10"
Trading Index,"3,474.76",-62.89,-1.77,"10,700,962.40"
