Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,217.19",16.32,0.74,"1,088,833,541.72"
Sensitive Index,432.67,3.62,0.84,"1,006,930,000.00"
Float Index,151.57,1.17,0.78,"1,025,850,000.00"
Sensitive Float Index,138.28,1.30,0.95,"633,458,000.00"
Banking SubIndex,"1,531.74",5.92,0.39,"171,871,802.70"
Development Bank Index,"3,833.10",53.31,1.41,"65,938,387.40"
Finance Index,"1,626.45",28.07,1.76,"40,319,500.20"
Hotels And Tourism,"2,849.50",27.40,0.97,"4,673,082.50"
HydroPower Index,"2,556.20",51.63,2.06,"353,998,025.40"
Investment,72.04,0.35,0.49,"54,582,289.80"
Life Insurance,"10,702.00",76.74,0.72,"69,021,221.20"
Manufacturing And Processing,"5,357.66",60.78,1.15,"46,621,231.00"
Microfinance Index,"4,537.18",25.69,0.57,"134,900,162.60"
Mutual Fund,15.14,-0.04,-0.25,"7,786,882.58"
Non Life Insurance,"9,408.98",24.00,0.26,"62,558,455.80"
Others Index,"1,681.96",11.82,0.71,"18,277,101.50"
Trading Index,"1,904.31",-3.16,-0.17,"3,091,687.00"
