Index,Current,Point Change,% Change,Turnover
NEPSE Index,"3,004.31",18.75,0.63,"11,114,121,616.00"
Sensitive Index,562.24,4.06,0.73,"10,644,900,000.00"
Float Index,210.18,1.86,0.89,"10,413,600,000.00"
Sensitive Float Index,187.84,1.88,1.01,"8,008,820,000.00"
Banking SubIndex,"2,102.95",35.64,1.72,"4,015,010,000.00"
Development Bank Index,"4,775.65",-14.93,-0.31,"1,898,090,000.00"
Finance Index,"2,519.72",38.25,1.54,"1,282,160,000.00"
Hotels And Tourism,"3,646.22",-15.23,-0.42,"85,851,400.00"
HydroPower Index,"2,997.26",24.60,0.83,"2,677,920,000.00"
Investment,108.48,-0.30,-0.28,"363,113,000.00"
Life Insurance,"17,558.39",-38.79,-0.22,"324,492,000.00"
Manufacturing And Processing,"6,280.70",-21.65,-0.34,"164,479,000.00"
Microfinance Index,"5,470.53",-12.73,-0.23,"571,512,000.00"
Mutual Fund,18.32,0.92,5.27,"633,044,000.00"
Non Life Insurance,"14,420.98",38.70,0.27,"730,739,000.00"
Others Index,"2,136.89",-11.41,-0.53,"410,357,000.00"
Trading Index,"3,997.67",-82.46,-2.02,"22,908,100.00"
