Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,062.06",49.17,2.44,"4,446,222,579.00"
Sensitive Index,391.30,8.86,2.32,"4,268,050,000.00"
Float Index,140.19,2.73,1.99,"4,272,150,000.00"
Sensitive Float Index,125.54,2.19,1.77,"3,586,540,000.00"
Banking SubIndex,"1,554.64",30.59,2.01,"1,747,640,000.00"
Development Bank Index,"2,115.14",-0.75,-0.04,"500,490,000.00"
Finance Index,865.14,1.67,0.19,"270,982,000.00"
Hotels And Tourism,"1,882.83",-19.28,-1.01,"5,269,990.00"
HydroPower Index,"1,577.89",14.30,0.91,"140,520,000.00"
Life Insurance,"13,298.82",153.45,1.17,"486,907,000.00"
Manufacturing And Processing,"5,443.80",348.21,6.83,"632,570,000.00"
Microfinance Index,"3,285.65",85.08,2.66,"438,654,000.00"
Mutual Fund,11.51,0.18,1.63,"24,472,900.00"
Non Life Insurance,"9,536.47",146.80,1.56,"741,125,000.00"
Others Index,"1,648.04",73.68,4.68,"382,370,000.00"
Trading Index,"2,111.38",182.23,9.45,"43,197,800.00"
