Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,324.26",4.27,0.32,"932,086,055.00"
Sensitive Index,281.62,0.58,0.21,"868,652,000.00"
Float Index,93.91,0.30,0.32,"908,194,000.00"
Sensitive Float Index,93.08,0.32,0.34,"726,792,000.00"
Banking SubIndex,"1,142.21",0.79,0.07,"231,984,000.00"
Development Bank Index,"1,818.03",5.96,0.33,"205,757,000.00"
Finance Index,664.40,-0.86,-0.13,"87,956,200.00"
Hotels And Tourism,"1,943.55",10.78,0.56,"7,667,730.00"
HydroPower Index,"1,007.78",-5.21,-0.51,"36,265,100.00"
Life Insurance,"7,422.81",-1.49,-0.02,"76,749,900.00"
Manufacturing And Processing,"2,532.84",25.51,1.02,"142,255,000.00"
Microfinance Index,"2,196.73",29.79,1.37,"165,644,000.00"
Mutual Fund,9.93,0.00,0.00,"745,365.00"
Non Life Insurance,"5,969.93",72.41,1.23,"217,938,000.00"
Others Index,688.17,5.35,0.78,"45,108,000.00"
Trading Index,805.44,8.41,1.06,"202,790.00"
