Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,848.84",5.22,0.18,"6,553,059,152.00"
Sensitive Index,531.08,-0.34,-0.06,"6,814,480,000.00"
Float Index,198.31,0.57,0.29,"6,510,540,000.00"
Sensitive Float Index,177.68,0.19,0.11,"5,059,520,000.00"
Banking SubIndex,"1,903.14",8.33,0.44,"1,870,022,614.90"
Development Bank Index,"5,665.65",8.80,0.16,"1,006,080,530.70"
Finance Index,"2,701.14",9.90,0.37,"465,206,879.20"
Hotels And Tourism,"3,440.73",-64.02,-1.83,"27,822,058.00"
HydroPower Index,"3,186.11",23.17,0.73,"1,646,424,626.20"
Investment,94.22,-0.19,-0.20,"176,323,982.60"
Life Insurance,"15,907.53",-47.04,-0.29,"214,128,704.30"
Manufacturing And Processing,"6,610.40",26.42,0.40,"167,967,185.10"
Microfinance Index,"5,576.18",17.41,0.31,"547,560,514.60"
Mutual Fund,15.83,0.06,0.37,"12,999,699.66"
Non Life Insurance,"13,092.42",-113.44,-0.86,"167,978,649.70"
Others Index,"1,986.19",2.10,0.11,"211,100,928.40"
Trading Index,"3,212.41",2.41,0.08,"9,918,491.90"
