Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,319.99",-13.70,-1.03,"950,402,584.00"
Sensitive Index,281.04,-3.01,-1.06,"986,021,000.00"
Float Index,93.61,-0.97,-1.03,"922,479,000.00"
Sensitive Float Index,92.76,-0.96,-1.02,"840,368,000.00"
Banking SubIndex,"1,141.42",-12.39,-1.07,"276,963,000.00"
Development Bank Index,"1,812.07",-19.14,-1.05,"196,581,000.00"
Finance Index,665.26,-5.52,-0.82,"83,051,900.00"
Hotels And Tourism,"1,932.77",-54.33,-2.73,"11,278,500.00"
HydroPower Index,"1,012.99",-8.33,-0.82,"44,155,400.00"
Life Insurance,"7,424.30",-75.86,-1.01,"109,639,000.00"
Manufacturing And Processing,"2,507.33",17.47,0.70,"32,694,200.00"
Microfinance Index,"2,166.94",-20.69,-0.95,"166,541,000.00"
Mutual Fund,9.93,-0.06,-0.60,"669,865.00"
Non Life Insurance,"5,897.52",-131.51,-2.18,"292,874,000.00"
Others Index,682.82,-4.05,-0.59,"35,201,500.00"
Trading Index,797.03,-5.63,-0.70,"3,085,120.00"
