Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,779.98",3.33,0.12,"3,343,413,684.00"
Sensitive Index,518.72,0.38,0.07,"3,195,970,000.00"
Float Index,190.92,0.05,0.03,"3,321,840,000.00"
Sensitive Float Index,167.76,-0.21,-0.13,"2,228,120,000.00"
Banking SubIndex,"1,808.33",-4.33,-0.24,"420,167,162.80"
Development Bank Index,"4,850.73",-21.10,-0.43,"248,067,502.20"
Finance Index,"2,397.31",14.65,0.61,"226,835,482.30"
Hotels And Tourism,"3,091.56",-21.55,-0.69,"10,553,430.40"
HydroPower Index,"3,250.55",5.52,0.17,"778,299,040.10"
Investment,89.54,0.47,0.53,"288,429,349.50"
Life Insurance,"16,108.30",-1.32,-0.01,"397,355,355.30"
Manufacturing And Processing,"7,268.38",28.72,0.40,"138,195,356.00"
Microfinance Index,"5,344.20",5.31,0.10,"269,947,377.40"
Mutual Fund,15.76,-0.09,-0.58,"13,408,737.32"
Non Life Insurance,"12,857.85",133.83,1.05,"380,904,135.50"
Others Index,"2,161.90",17.92,0.84,"149,123,498.20"
Trading Index,"2,939.12",-6.99,-0.24,"13,964,804.00"
