Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,201.57",-24.58,-2.00,"3,613,523.00"
Sensitive Index,260.32,-5.35,-2.01,"3,631,580.00"
Float Index,85.00,-1.74,-2.01,"3,552,020.00"
Sensitive Float Index,85.62,-1.70,-1.95,"3,328,040.00"
Banking SubIndex,"1,041.50",-25.65,-2.40,"1,607,240.00"
Development Bank Index,"1,687.73",-7.92,-0.47,"390,588.00"
Finance Index,629.23,-3.63,-0.57,"529,364.00"
Hotels And Tourism,"1,556.69",-3.39,-0.22,"21,360.00"
HydroPower Index,899.67,-18.03,-1.96,"190,296.00"
Life Insurance,"6,509.45",-129.97,-1.96,"93,660.00"
Manufacturing And Processing,"2,390.64",-34.22,-1.41,"59,082.00"
Microfinance Index,"2,008.29",-23.96,-1.18,"278,118.00"
Non Life Insurance,"5,142.25",-57.17,-1.10,"192,360.00"
Others Index,641.76,-18.76,-2.84,"1,095,270.00"
Trading Index,751.05,-12.67,-1.66,"23,520.00"
