Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,560.29",-0.79,-0.03,"4,688,868,299.23"
Sensitive Index,440.65,-1.61,-0.36,"1,411,726,971.10"
Float Index,174.80,-0.18,-0.10,"4,658,881,231.94"
Sensitive Float Index,149.37,-0.54,-0.36,"1,411,726,971.10"
Banking SubIndex,"1,327.01",-4.38,-0.32,"257,454,569.90"
Development Bank Index,"5,318.72",-4.78,-0.08,"412,094,335.20"
Finance Index,"2,244.53",-16.15,-0.71,"75,273,805.20"
Hotels And Tourism,"6,631.12",71.40,1.08,"87,783,575.20"
HydroPower Index,"3,347.03",3.32,0.09,"2,624,929,875.40"
Investment,102.55,-0.52,-0.51,"161,805,480.10"
Life Insurance,"12,729.38",-18.26,-0.14,"142,108,219.64"
Manufacturing And Processing,"7,377.86",23.60,0.32,"209,220,154.40"
Microfinance Index,"4,834.02",13.23,0.27,"350,685,964.20"
Mutual Fund,19.87,-0.08,-0.41,"7,508,424.00"
Non Life Insurance,"10,526.69",-32.73,-0.30,"59,990,261.80"
Others Index,"2,312.97",6.92,0.30,"263,705,955.90"
Trading Index,"3,821.10",6.59,0.17,"13,829,035.00"
