Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,265.45",9.35,0.74,"1,033,390,231.00"
Sensitive Index,269.58,0.55,0.20,"870,601,000.00"
Float Index,88.94,0.48,0.55,"815,939,000.00"
Sensitive Float Index,88.30,0.03,0.04,"744,502,000.00"
Banking SubIndex,"1,088.52",3.35,0.31,"329,606,000.00"
Development Bank Index,"1,659.93",-11.11,-0.66,"140,383,000.00"
Finance Index,628.56,-6.27,-0.99,"87,179,200.00"
Hotels And Tourism,"1,356.07",7.18,0.53,"5,677,480.00"
HydroPower Index,921.97,-2.85,-0.31,"23,425,300.00"
Life Insurance,"7,534.52",212.56,2.90,"151,629,000.00"
Manufacturing And Processing,"2,610.83",20.98,0.81,"75,236,400.00"
Microfinance Index,"2,086.42",9.83,0.47,"87,779,300.00"
Mutual Fund,9.44,-0.17,-1.77,"1,260,240.00"
Non Life Insurance,"5,508.34",27.30,0.50,"207,042,000.00"
Others Index,695.17,19.83,2.94,"180,547,000.00"
Trading Index,814.37,-75.23,-8.46,"19,270,000.00"
