Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,665.93",50.58,1.93,"5,028,555,092.00"
Sensitive Index,503.46,8.58,1.73,"5,429,990,000.00"
Float Index,187.39,3.60,1.96,"4,962,220,000.00"
Sensitive Float Index,170.10,2.99,1.79,"3,750,090,000.00"
Banking SubIndex,"1,890.00",20.29,1.09,"1,196,360,000.00"
Development Bank Index,"4,896.47",150.68,3.18,"889,883,000.00"
Finance Index,"2,312.25",107.47,4.87,"555,252,000.00"
Hotels And Tourism,"3,133.29",32.92,1.06,"23,145,300.00"
HydroPower Index,"2,901.15",117.34,4.22,"1,493,240,000.00"
Investment,88.04,2.00,2.32,"180,779,000.00"
Life Insurance,"14,668.51",215.38,1.49,"206,589,000.00"
Manufacturing And Processing,"6,395.89",103.36,1.64,"214,348,000.00"
Microfinance Index,"5,000.03",88.01,1.79,"414,569,000.00"
Mutual Fund,15.00,0.09,0.59,"9,368,770.00"
Non Life Insurance,"11,639.82",255.66,2.25,"349,748,000.00"
Others Index,"1,698.30",41.43,2.50,"262,947,000.00"
Trading Index,"3,010.06",75.43,2.57,"13,264,100.00"
