Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,953.06",1.85,0.09,"1,135,925,357.90"
Sensitive Index,368.32,-0.17,-0.05,"462,690,931.10"
Float Index,137.22,0.08,0.06,"1,120,864,638.90"
Sensitive Float Index,123.22,-0.10,-0.08,"460,154,200.10"
Banking SubIndex,"1,269.02",-3.94,-0.31,"312,593,567.40"
Development Bank Index,"3,582.38",12.88,0.36,"65,565,494.90"
Finance Index,"1,675.07",16.18,0.98,"46,081,586.00"
Hotels And Tourism,"3,095.55",19.95,0.65,"9,722,049.80"
HydroPower Index,"2,559.45",18.97,0.75,"345,038,403.00"
Investment,64.52,0.44,0.69,"37,980,047.50"
Life Insurance,"9,763.66",6.88,0.07,"79,821,592.60"
Manufacturing And Processing,"4,495.68",-23.38,-0.52,"62,211,299.10"
Microfinance Index,"3,673.01",-14.45,-0.39,"102,983,014.60"
Mutual Fund,13.98,-0.03,-0.18,"1,942,234.63"
Non Life Insurance,"8,807.30",47.61,0.54,"36,619,478.50"
Others Index,"1,425.08",6.21,0.44,"18,846,525.00"
Trading Index,"2,062.08",-50.37,-2.38,"3,401,580.50"
