Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,449.97",-5.84,-0.24,"2,673,308,792.00"
Sensitive Index,465.23,0.43,0.09,"2,710,490,000.00"
Float Index,168.17,-0.47,-0.28,"2,601,170,000.00"
Sensitive Float Index,149.69,0.04,0.03,"1,793,900,000.00"
Banking SubIndex,"1,675.48",-2.35,-0.14,"462,596,879.01"
Development Bank Index,"4,396.00",-21.92,-0.50,"333,936,131.60"
Finance Index,"2,156.23",-16.28,-0.75,"219,203,560.50"
Hotels And Tourism,"2,951.61",18.77,0.64,"12,943,123.90"
HydroPower Index,"2,762.24",-17.01,-0.61,"728,562,964.30"
Investment,76.08,-0.07,-0.10,"105,905,064.10"
Life Insurance,"13,088.19",-34.43,-0.26,"128,082,789.20"
Manufacturing And Processing,"5,666.22",-24.83,-0.44,"114,224,012.10"
Microfinance Index,"4,700.87",-25.02,-0.53,"275,532,881.10"
Mutual Fund,14.93,0.01,0.06,"10,604,636.17"
Non Life Insurance,"10,826.76",-60.27,-0.55,"101,592,324.30"
Others Index,"1,914.74",4.17,0.22,"114,501,231.90"
Trading Index,"2,539.74",-19.34,-0.76,"4,091,392.00"
