Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,899.82",74.71,2.64,"8,061,382,496.00"
Sensitive Index,543.43,13.77,2.60,"8,109,410,000.00"
Float Index,201.17,5.74,2.93,"7,667,290,000.00"
Sensitive Float Index,179.05,5.48,3.16,"6,114,090,000.00"
Banking SubIndex,"1,972.57",45.13,2.34,"2,121,320,000.00"
Development Bank Index,"4,669.41",357.50,8.29,"2,053,470,000.00"
Finance Index,"2,346.59",181.26,8.37,"1,107,850,000.00"
Hotels And Tourism,"3,683.19",86.80,2.41,"54,152,400.00"
HydroPower Index,"2,807.69",78.55,2.88,"1,045,610,000.00"
Investment,108.03,2.82,2.68,"390,466,000.00"
Life Insurance,"17,414.11",487.20,2.88,"244,512,000.00"
Manufacturing And Processing,"6,221.78",96.40,1.57,"203,715,000.00"
Microfinance Index,"5,335.11",133.50,2.57,"971,795,000.00"
Mutual Fund,15.59,0.14,0.89,"264,560,000.00"
Non Life Insurance,"14,277.91",378.53,2.72,"639,967,000.00"
Others Index,"2,172.01",9.01,0.42,"555,498,000.00"
Trading Index,"3,758.98",34.83,0.94,"16,502,900.00"
